© 2000-2025 QIAGEN. All rights reserved.

Analysis	Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
Doxo21 vs Doxo3	SMAD3	 	transcription regulator	Inhibited	-2.399	bias	1.68E-07	BCL2L11,CCN2,COL4A1,COL4A2,COL6A3,EGR1,FOS,GLI2,NET1,TERT	38 (21)
Palbo28 vs Palbo3	FOXC1	 	transcription regulator	 	-0.137	bias	2.22E-07	BCL2L11,CXCL12,EGR1,FOS,FOSB,GDNF,OTX1,SOCS3	36 (16)
Doxo21 vs Doxo3	ELK1	 	transcription regulator	Inhibited	-2.162	bias	3.01E-07	EGR1,FOS,FOSB,MIR17HG,SKP2,TERT	26 (18)
Doxo21 vs Cycling0	TWIST1	 	transcription regulator	 	-0.690	bias	3.18E-07	ADAMTS1,AXL,BCL2L11,CBX2,COL4A1,CXCL12,FBN2,FOS,FREM2,OLFML3	 
Doxo3 vs Cycling0	DACH1	 	transcription regulator	 	1.387	bias	3.25E-07	EGR1,FOS,IER2,PAK3,SOCS3	18 (7)
Doxo21 vs Cycling0	ELK1	 	transcription regulator	Inhibited	-2.363	bias	3.32E-07	EGR1,FOS,FOSB,MIR17HG,SKP2,SOCS3,TERT	68 (21)
Doxo14 vs Cycling0	CREB1	 	transcription regulator	 	-1.787	bias	4.08E-07	ANGPTL2,ARHGAP33,CAMK4,EDN1,EGR1,FOS,FOSB,IER2,MEST,MIDN,MSMO1,NREP,PER1,SCD,SLC19A1	16 (2)
Palbo28 vs Palbo3	DACH1	 	transcription regulator	 	1.387	bias	4.46E-07	EGR1,FOS,IER2,PAK3,SOCS3	30 (15)
Doxo14 vs Cycling0	ARID1A	 	transcription regulator	 	-0.341	 	4.70E-07	COL4A1,EDN1,EGR1,FBN2,FOS,HES1,HTRA3,ITGB4,MEST,NREP,PAK3,TERT,WNT3,WNT5B	40 (10)
Doxo3 vs Cycling0	ELK1	 	transcription regulator	Inhibited	-2.162	bias	4.82E-07	EGR1,FOS,FOSB,MIR17HG,SOCS3,TERT	44 (25)
Doxo21 vs Cycling0	CREB1	 	transcription regulator	 	-1.787	bias	5.39E-07	ANGPTL2,ARHGAP33,CAMK4,EDN1,EGR1,FOS,FOSB,IER2,MEST,MIDN,MSMO1,NREP,PER1,SCD,SLC19A1	16 (2)
Doxo3 vs Cycling0	MRTFB	 	transcription regulator	Inhibited	-2.400	bias	5.41E-07	ADAMTS1,CXCL12,EDN1,EGR1,FADS2,NREP,SLIT2,TPM1	29 (7)
Palbo28 vs Cycling0	MRTFB	 	transcription regulator	Inhibited	-2.598	bias	6.02E-07	ADAMTS1,COL6A3,CXCL12,EDN1,EGR1,FADS2,NREP,SLIT2,SULT1E1	 
Doxo21 vs Cycling0	ARID1A	 	transcription regulator	 	-0.341	 	6.11E-07	COL4A1,EDN1,EGR1,FBN2,FOS,HES1,HTRA3,ITGB4,LTBP4,MEST,NREP,TERT,WNT3,WNT5B	42 (11)
Doxo14 vs Doxo3	TP63	 	transcription regulator	 	0.902	 	6.19E-07	CCN2,COL4A1,COL4A2,COL6A3,FOSB,G6PD,HES1,PHGDH,RASL11A,SLC7A5,TINAGL1	25 (7)
Doxo21 vs Cycling0	EZH2	 	transcription regulator	 	0.596	 	6.55E-07	AXL,BCL2L11,CGB7,COL4A1,DENND2A,EGR1,FADS2,FOXF2,KLF2,PER1,SLC1A3,SOCS3,TERT,WNT3	50 (15)
Palbo28 vs Palbo3	JUN	 	transcription regulator	Inhibited	-2.352	bias	6.94E-07	ADAMTS6,ANGPTL2,BCL2L11,EDN1,FOS,FOSB,GDNF,HES1,ITGB4,OXTR,PAK3,SOCS3	42 (20)
Palbo28 vs Palbo3	ELK1	 	transcription regulator	 	-1.321	bias	7.01E-07	EGR1,FOS,FOSB,MIR17HG,SOCS3,TERT	35 (19)
Doxo3 vs Cycling0	TCF7	 	transcription regulator	 	0.333	 	8.49E-07	ADAMTS6,CISH,FOS,FOSB,HES1,IL27RA,MSMO1,PTGER2,SOCS3,TNFRSF19	 
Palbo28 vs Cycling0	SMAD3	 	transcription regulator	Inhibited	-2.312	bias	9.38E-07	ADAMTS1,BCL2L11,COL4A1,COL4A2,COL6A3,EDN1,EGR1,FBN2,FOS,NET1,TERT	52 (18)
Doxo21 vs Cycling0	RB1	 	transcription regulator	Activated	2.335	 	9.59E-07	BCL2L11,CCN2,COL4A1,COL4A2,EGR1,FOS,FOSB,GLI2,GPR85,HES1,PER1,SKP2,TERT,TPM1	57 (15)
Palbo28 vs Cycling0	MRTFA	 	transcription regulator	Inhibited	-2.795	bias	1.46E-06	COL6A3,CXCL12,EDN1,EGR1,FADS2,FOS,NREP,SLIT2,SULT1E1	31 (7)
Palbo28 vs Cycling0	FOXC1	 	transcription regulator	 	0.547	bias	1.62E-06	BCL2L11,CXCL12,EGR1,FOS,FOSB,GDNF,KLF2,SOCS3	40 (12)
Palbo28 vs Cycling0	DACH1	 	transcription regulator	 	1.387	bias	1.62E-06	EGR1,FOS,IER2,PAK3,SOCS3	42 (15)
Palbo28 vs Palbo3	TWIST1	 	transcription regulator	 	-0.026	bias	1.71E-06	BCL2L11,CBX2,COL4A1,CXCL12,FBN2,FOS,FREM2,OLFML3	 
Doxo21 vs Doxo3	GLI1	 	transcription regulator	 	-0.493	 	1.76E-06	BCL2L11,C1QTNF3,EGR1,FOS,GLI2,HES1,IMPA2,MEST,SKP2,SLC1A3,TERT	38 (17)
Palbo14 vs Cycling0	TP63	 	transcription regulator	 	-1.004	 	1.80E-06	ADAMTS1,AMIGO2,AXL,COL6A3,EDN1,EGR1,FOS,FOSB,HES1,NID1,PHGDH,TINAGL1	34 (20)
Palbo28 vs Cycling0	JUN	 	transcription regulator	Inhibited	-2.352	bias	1.91E-06	ADAMTS6,ANGPTL2,AXL,BCL2L11,EDN1,FOS,FOSB,GDNF,HES1,ITGB4,PAK3,SLC19A1,SOCS3	49 (17)
Doxo14 vs Cycling0	CREM	 	transcription regulator	 	-1.820	 	1.92E-06	CAMK4,EGR1,FOS,MEST,MIDN,MSMO1,PER1,TPM1	25 (4)
Doxo3 vs Cycling0	FOXC1	 	transcription regulator	 	-1.134	bias	2.09E-06	CXCL12,DLX6,EGR1,FOS,FOSB,OTX1,SOCS3	26 (13)
Doxo21 vs Cycling0	CREM	 	transcription regulator	 	-1.820	 	2.26E-06	CAMK4,EGR1,FOS,MEST,MIDN,MSMO1,PER1,TPM1	25 (4)
Doxo14 vs Cycling0	MRTFA	 	transcription regulator	Inhibited	-2.755	bias	2.91E-06	CCN2,COL6A3,CXCL12,EDN1,EGR1,FADS2,FOS,NREP,SLIT2	45 (14)
Doxo14 vs Cycling0	EZH2	 	transcription regulator	 	0.631	 	2.96E-06	AXL,CGB7,COL4A1,DENND2A,EGR1,FADS2,FOXF2,KLF2,OXTR,PER1,SLC1A3,TERT,WNT3	44 (7)
Doxo14 vs Cycling0	FOXC1	 	transcription regulator	 	-0.707	bias	3.01E-06	CXCL12,DLX6,EGR1,FOS,FOSB,KLF2,LFNG,OTX1	33 (9)
Doxo14 vs Cycling0	CTNNB1	 	transcription regulator	Inhibited	-2.316	bias	3.19E-06	AQP4,CCN2,COL4A1,COL4A2,CTDSPL,CXCL12,EDN1,EGR1,FOS,GLI2,HES1,LFNG,MIR17HG,SLC7A5,SP5,TERT,TNFRSF19,WNT3,WNT5B	58 (16)
Doxo14 vs Cycling0	TP53	 	transcription regulator	 	-0.547	 	3.25E-06	CCN2,CGB7,COL4A1,COL4A2,CXCL12,EDN1,EGR1,FOS,G6PD,GLI2,GPR85,HES1,IL27RA,ITGB4,KIF18A,MIR17HG,OTX1,PAK3,PHGDH,PIK3CD,PSRC1,RAB11FIP1,RGS16,SCD,SKP2,SLC19A1,SLC7A5,TERT,TPM1,WNT3,WNT5B	63 (21)
Doxo21 vs Cycling0	MRTFA	 	transcription regulator	Inhibited	-2.755	bias	3.47E-06	CCN2,COL6A3,CXCL12,EDN1,EGR1,FADS2,FOS,NREP,SLIT2	52 (11)
Doxo14 vs Cycling0	RB1	 	transcription regulator	Activated	2.132	 	4.20E-06	CCN2,COL4A1,COL4A2,EGR1,FOS,FOSB,GLI2,GPR85,HES1,PER1,SKP2,TERT,TPM1	65 (18)
Doxo14 vs Doxo3	RB1	 	transcription regulator	 	1.000	 	4.27E-06	CCN2,COL4A1,COL4A2,FOSB,GLI2,GPR85,HES1,RYR3,SKP2	23 (6)
Doxo21 vs Cycling0	CTNNB1	 	transcription regulator	Inhibited	-2.232	bias	4.40E-06	BCL2L11,CCN2,COL4A1,COL4A2,CTDSPL,CXCL12,EDN1,EGR1,FOS,GLI2,HES1,LFNG,MIR17HG,SLC7A5,SP5,TERT,TNFRSF19,WNT3,WNT5B	69 (22)
Palbo28 vs Cycling0	CREB1	 	transcription regulator	 	-1.344	bias	4.71E-06	ANGPTL2,ARHGAP33,CAMK4,EDN1,EGR1,FOS,FOSB,IER2,MEST,MSMO1,NREP,SCD,SLC19A1	21 (4)
Doxo21 vs Doxo3	WBP2	 	transcription regulator	 	-0.896	 	4.96E-06	CDK15,COL4A1,COL6A3,EGR1,LINC00324,SLC1A3	 
Doxo21 vs Doxo3	RBL1	 	transcription regulator	 	1.970	bias	4.97E-06	BCL2L11,FOS,HES1,SKP2,TERT	39 (18)
Doxo14 vs Cycling0	ELK1	 	transcription regulator	Inhibited	-2.162	bias	5.18E-06	EGR1,FOS,FOSB,MIR17HG,SKP2,TERT	52 (15)
Doxo21 vs Cycling0	TP53	 	transcription regulator	 	-0.264	 	5.22E-06	BCL2L11,CCN2,CGB7,COL4A1,COL4A2,CXCL12,EDN1,EGR1,FOS,G6PD,GLI2,GPR85,HES1,IL27RA,ITGB4,KIF18A,MIR17HG,OTX1,PHGDH,PIK3CD,PSRC1,RAB11FIP1,RGS16,SCD,SKP2,SLC19A1,SLC7A5,TERT,TPM1,WNT3,WNT5B	64 (21)
Doxo14 vs Cycling0	RYBP	 	transcription regulator	 	 	 	5.30E-06	CCN2,FOSB,GLI2,WNT3,WNT5B	 
Doxo21 vs Cycling0	RYBP	 	transcription regulator	 	 	 	5.89E-06	CCN2,FOSB,GLI2,WNT3,WNT5B	 
Palbo28 vs Cycling0	TCF7L1	 	transcription regulator	Activated	2.449	 	6.91E-06	COL4A1,COL4A2,KLF2,NID1,SP5,TNFRSF19	43 (7)
Palbo14 vs Cycling0	ELK1	 	transcription regulator	Inhibited	-2.162	bias	7.16E-06	EGR1,FOS,FOSB,MIR17HG,SKP2	20 (9)
Doxo21 vs Doxo3	CTNNB1	 	transcription regulator	Inhibited	-2.556	bias	7.67E-06	BCL2L11,CCN2,COL4A1,COL4A2,CTDSPL,CXCL12,EGR1,FOS,GLI2,HES1,MIR17HG,SLC7A5,SP5,TERT	43 (21)
Doxo3 vs Cycling0	FOSL1	 	transcription regulator	 	0.114	 	8.19E-06	AXL,EDN1,EGR1,FOS,FOSB,ITGB4	23 (7)
Doxo3 vs Cycling0	MYC	 	transcription regulator	 	-1.767	bias	8.94E-06	ADAMTS1,AXL,DLEU2,DLX6,EDN1,EGR1,FADS2,FBN2,FOS,G6PD,HES1,LHX9,MIR17HG,TERT,TNFRSF19,TPM1,WNT3	42 (23)
Doxo3 vs Cycling0	TP53	 	transcription regulator	 	-0.811	 	9.14E-06	CGB7,CXCL12,EDN1,EGR1,FOS,G6PD,HES1,IL27RA,ITGB4,KIF18A,MIR17HG,NDUFA4L2,OTX1,PAK3,PIK3CD,PSRC1,RGS16,SCD,SLC19A1,TERT,TPM1,WNT3,WNT5B	42 (19)
Doxo21 vs Cycling0	HTT	 	transcription regulator	 	-0.547	 	9.47E-06	BCL2L11,C1QTNF3,CAMK4,CBX2,CCN2,COL4A1,COL4A2,COL6A3,EGR1,FOS,GALNT16,NREP,PER1,RGS16,SLC1A3,TM4SF1	59 (20)
Palbo28 vs Cycling0	YAP1	 	transcription regulator	Inhibited	-3.387	bias	9.67E-06	ADAMTS1,AXL,BCL2L11,COL4A1,COL4A2,CXCL12,EDN1,EGR1,FOS,FOSB,PHGDH,SKP2,TERT	56 (21)
Doxo14 vs Cycling0	TCF7L1	 	transcription regulator	Activated	2.449	 	1.11E-05	COL4A1,COL4A2,KLF2,NID1,SP5,TNFRSF19	50 (7)
Doxo21 vs Doxo3	SMAD7	 	transcription regulator	 	0.933	 	1.12E-05	BCL2L11,CCN2,COL6A3,CXCL12,NET1,TERT	36 (18)
Palbo28 vs Palbo3	SOX4	 	transcription regulator	Inhibited	-2.607	bias	1.23E-05	CXCL12,EVI2A,FOS,H1-10,MEX3A,NREP,TNFRSF19	 
Palbo28 vs Palbo3	EGR2	 	transcription regulator	 	-1.501	 	1.23E-05	ACAT2,BCL2L11,CAMK4,CISH,EGR1,FOS,MIR17HG,SOCS3	33 (17)
Doxo3 vs Cycling0	TWIST1	 	transcription regulator	 	-0.823	bias	1.23E-05	ADAMTS1,AXL,CXCL12,FBN2,FOS,FREM2,OLFML3	 
Doxo21 vs Cycling0	TCF7L1	 	transcription regulator	Activated	2.449	 	1.26E-05	COL4A1,COL4A2,KLF2,NID1,SP5,TNFRSF19	50 (7)
Palbo3 vs Cycling0	TP63	 	transcription regulator	 	0.518	 	1.32E-05	ADAMTS1,AXL,EGR1,FOSB,HES1,OXTR,RASL11A,SLIT2,WNT5B	 
Doxo21 vs Doxo3	FOXO1	 	transcription regulator	 	-1.777	bias	1.35E-05	BCL2L11,CCN2,COL4A1,COL4A2,EGR1,FOS,FOSB,KIF18A,KLF2	27 (21)
Doxo3 vs Cycling0	MRTFA	 	transcription regulator	Inhibited	-2.414	bias	1.38E-05	CXCL12,EDN1,EGR1,FADS2,FOS,NREP,SLIT2	33 (12)
Doxo21 vs Doxo3	TCF7L1	 	transcription regulator	Activated	2.236	 	1.45E-05	COL4A1,COL4A2,KLF2,NID1,SP5	 
Palbo28 vs Cycling0	CTNNB1	 	transcription regulator	Inhibited	-2.187	bias	1.51E-05	AQP4,BCL2L11,COL4A1,COL4A2,CTDSPL,CXCL12,EDN1,EGR1,FOS,GDNF,HES1,MIR17HG,SP5,TERT,TNFRSF19,WNT3,WNT5B	58 (21)
Doxo14 vs Doxo3	YAP1	 	transcription regulator	Inhibited	-2.919	bias	1.58E-05	CCN2,COL4A1,COL4A2,CXCL12,FOSB,GLI2,PHGDH,SKP2,SLC7A5	31 (16)
Doxo21 vs Doxo3	HNRNPD	 	transcription regulator	 	 	 	1.66E-05	FOS,KLF2,TERT	 
Doxo3 vs Cycling0	JUN	 	transcription regulator	 	-1.634	bias	1.72E-05	ADAMTS6,AXL,EDN1,FOS,FOSB,HES1,ITGB4,PAK3,SLC19A1,SOCS3	35 (17)
Doxo21 vs Doxo3	FOXC1	 	transcription regulator	 	0.447	bias	1.76E-05	BCL2L11,CXCL12,EGR1,FOS,FOSB,KLF2	35 (17)
Doxo14 vs Doxo3	WBP2	 	transcription regulator	 	-1.387	 	1.78E-05	CDK15,COL4A1,COL6A3,LINC00324,SLC1A3	 
Palbo28 vs Cycling0	MYC	 	transcription regulator	Inhibited	-2.032	bias	1.84E-05	ADAMTS1,AXL,BCL2L11,COL4A1,COL4A2,COL6A3,CTDSPL,DLEU2,EDN1,EGR1,FADS2,FBN2,FOS,G6PD,HES1,MIR17HG,SKP2,TERT,TNFRSF19,WNT3	52 (23)
Doxo21 vs Cycling0	FOS	-7.182	transcription regulator	 	0.217	bias	1.93E-05	BCL2L11,CCN2,EDN1,EGR1,FOS,FOSB,GPSM2,ITGB4,NET1,RAB11FIP1,SLC19A1,SOCS3,TPM1	63 (21)
Palbo14 vs Cycling0	FOXQ1	 	transcription regulator	 	 	 	1.95E-05	FOXF2,SP5,WNT3	 
Palbo28 vs Palbo3	MRTFA	 	transcription regulator	Inhibited	-2.414	bias	2.08E-05	CXCL12,EDN1,EGR1,FADS2,FOS,NREP,SULT1E1	27 (11)
Doxo21 vs Cycling0	SMAD7	 	transcription regulator	 	1.192	bias	2.09E-05	BCL2L11,CCN2,COL6A3,CXCL12,NET1,SCD,TERT	56 (19)
Doxo14 vs Cycling0	TWIST1	 	transcription regulator	 	-1.826	bias	2.17E-05	ADAMTS1,AXL,CBX2,COL4A1,CXCL12,FBN2,FOS,OLFML3	 
Doxo14 vs Cycling0	JUN	 	transcription regulator	Inhibited	-2.136	bias	2.51E-05	ADAMTS6,ANGPTL2,AXL,CCN2,EDN1,FOS,FOSB,HES1,ITGB4,OXTR,PAK3,SLC19A1	67 (23)
Doxo21 vs Cycling0	EGR2	 	transcription regulator	 	-1.746	bias	2.58E-05	ACAT2,BCL2L11,CAMK4,CISH,EGR1,FOS,MIR17HG,SLC1A3,SOCS3	37 (15)
Doxo14 vs Cycling0	HMG20A	 	transcription regulator	Inhibited	-2.449	bias	2.66E-05	AXL,CCN2,EDN1,FADS2,PTGER2,RGS16	 
Palbo28 vs Palbo3	RB1	 	transcription regulator	Activated	2.132	 	2.69E-05	BCL2L11,COL4A1,COL4A2,EGR1,FOS,FOSB,GPR85,HES1,RYR3,TERT	37 (20)
Doxo21 vs Cycling0	FOXO1	 	transcription regulator	 	-1.986	bias	2.87E-05	BCL2L11,CAMK4,CCN2,COL4A1,COL4A2,EDN1,EGR1,FOS,FOSB,KIF18A,KLF2	55 (24)
Palbo28 vs Palbo3	TCF7L1	 	transcription regulator	Activated	2.236	 	2.89E-05	COL4A1,COL4A2,NID1,SP5,TNFRSF19	29 (7)
Doxo14 vs Doxo3	SPDEF	 	transcription regulator	Activated	2.000	bias	2.95E-05	CCN2,COL4A1,COL4A2,COL6A3	 
Doxo14 vs Cycling0	HTT	 	transcription regulator	 	-0.063	 	2.98E-05	C1QTNF3,CAMK4,CBX2,CCN2,COL4A1,COL4A2,COL6A3,EGR1,FOS,GALNT16,NREP,PER1,RGS16,SLC1A3,TM4SF1	51 (14)
Doxo21 vs Cycling0	HMG20A	 	transcription regulator	Inhibited	-2.449	bias	3.00E-05	AXL,CCN2,EDN1,FADS2,PTGER2,RGS16	 
Palbo28 vs Cycling0	PPARGC1A	 	transcription regulator	 	1.488	bias	3.08E-05	ADAMTS1,COL6A3,EDN1,FOS,INPP5J,INSIG1,ITGB4,MSMO1,OLFML3,SLC19A1,SOCS3	56 (14)
Doxo14 vs Cycling0	SREBF2	 	transcription regulator	Inhibited	-2.401	bias	3.08E-05	CCN2,FADS2,G6PD,GLI2,INSIG1,MSMO1	47 (13)
Doxo21 vs Cycling0	JUN	 	transcription regulator	Inhibited	-2.137	bias	3.11E-05	ADAMTS6,ANGPTL2,AXL,BCL2L11,CCN2,EDN1,FOS,FOSB,HES1,ITGB4,SLC19A1,SOCS3	43 (15)
Doxo21 vs Doxo3	FOXO3	 	transcription regulator	 	-0.809	 	3.17E-05	BCL2L11,CCN2,COL4A1,COL4A2,EGR1,FOS,FOSB,SKP2	33 (21)
Doxo14 vs Cycling0	FOXO3	 	transcription regulator	 	-1.030	 	3.32E-05	AQP4,CCN2,COL4A1,COL4A2,EGR1,FOS,FOSB,GDPD3,SKP2,SLIT2	56 (17)
Doxo21 vs Cycling0	SREBF2	 	transcription regulator	Inhibited	-2.401	bias	3.48E-05	CCN2,FADS2,G6PD,GLI2,INSIG1,MSMO1	48 (14)
Palbo28 vs Cycling0	RBL1	 	transcription regulator	 	1.970	bias	3.50E-05	BCL2L11,FOS,HES1,SKP2,TERT	60 (20)
Palbo28 vs Cycling0	CREBBP	 	transcription regulator	 	-1.287	bias	3.51E-05	AXL,CAMK4,CXCL12,EGR1,EVI2A,FOS,FOSB,KLF2,SOCS3,WNT5B	48 (16)
Doxo21 vs Doxo3	GLI3	 	transcription regulator	 	-0.655	 	3.58E-05	EGR1,FOSB,GLI2,KLF2,TERT	 
