© 2000-2025 QIAGEN. All rights reserved.

Analysis	Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
Palbo28 vs Cycling0	CEBPB	 	transcription regulator	Inhibited	-8.972	bias	1.27E-63	ASF1B,ATAD2,AURKA,AURKB,BARD1,BCL2,BIRC5,BRCA1,BRCA2,BUB1B,CCNA2,CCNB2,CDC20,CDC25A,CDC25B,CDC25C,CDC45,CDC6,CDCA3,CDCA8,CDK1,CDKN2C,CDKN3,CDT1,CENPE,CENPM,CIT,CSF1R,CYP24A1,DDX39A,DEK,DEPDC1,DHFR,DIAPH3,DLGAP5,DSCC1,E2F1,E2F8,ESPL1,EZH2,GINS1,GINS4,H2AX,HELLS,HMGB2,HMMR,JPT1,KIF18B,KIF22,KIF2C,KIF4A,KPNA2,LIG1,LMNB1,MCM2,MCM3,MCM4,MCM6,MCM7,MELK,MKI67,MMS22L,MXD3,MYBL2,NCAPD2,NRG1,ODC1,PCNA,PLK1,POLA2,PSMC3IP,PTHLH,RACGAP1,RAD51AP1,RANBP1,RFC2,RFC3,RNASEH2A,RRM2,SHMT1,SMC4,SPAG5,SPC24,SPC25,STMN1,SUV39H1,TACC3,TCF19,TIMELESS,TK1,TMPO,TOP2A,TRIP13,UBE2S,USP1,WT1	244 (18)
Palbo14 vs Cycling0	CEBPB	 	transcription regulator	Inhibited	-9.027	bias	2.31E-62	ASF1B,ATAD2,AURKA,AURKB,BARD1,BCL2,BIRC5,BRCA1,BRCA2,BUB1B,CCNA2,CCNB2,CDC20,CDC25A,CDC25B,CDC25C,CDC45,CDC6,CDCA3,CDCA8,CDK1,CDKN2C,CDKN3,CDT1,CENPE,CENPM,CIT,CSF1R,CYP24A1,DDX39A,DEK,DEPDC1,DHFR,DIAPH3,DLGAP5,DSCC1,E2F1,E2F8,ESPL1,EZH2,GINS1,GINS4,H2AX,HELLS,HMGB2,HMMR,JPT1,KIF18B,KIF22,KIF2C,KIF4A,KPNA2,LIG1,LMNB1,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MELK,MKI67,MMS22L,MXD3,MYBL2,NCAPD2,NRG1,ODC1,PCNA,PLK1,POLA2,PSMC3IP,PTHLH,RACGAP1,RAD51AP1,RANBP1,RFC2,RFC3,RNASEH2A,RRM2,SHMT1,SMC4,SPAG5,SPC24,SPC25,STMN1,SUV39H1,TACC3,TCF19,TIMELESS,TK1,TMPO,TOP2A,TRIP13,UBE2S,USP1,WT1	249 (19)
Doxo21 vs Cycling0	E2F1	-2.174	transcription regulator	Inhibited	-6.641	bias	7.00E-59	ATAD2,AURKA,AURKB,BCL2,BIRC5,BRCA1,CCNA2,CCNB1,CCNB2,CCNE2,CCNF,CDC20,CDC25A,CDC25B,CDC45,CDC6,CDCA4,CDK1,CDK2,CDKN2C,CDKN2D,CDKN3,CENPU,DBF4,DDX11,DHFR,DLGAP5,E2F1,E2F2,E2F8,ECT2,EZH2,FANCD2,FBXO5,FEN1,FOXM1,GINS1,GMNN,HELLS,HMGB1,HMGB2,HMGN2,IRS1,JPT1,KCNH1,KIF23,MAD2L1,MAD2L2,MCM10,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,mir-25 (includes others),MYB,MYBL2,NDC80,NUSAP1,ORC1,PCLAF,PCNA,POLA1,POLA2,PRIM1,PTTG1,RACGAP1,RAD51,RAD54L,RANBP1,RBL1,RFC2,RFC3,RFC4,RRM1,RRM2,SMC4,STMN1,TK1,TOP2A,TP73,TYMS,UHRF1	205 (14)
Doxo21 vs Doxo3	RB1	 	transcription regulator	Activated	5.339	 	1.02E-58	ARHGAP11A,ASF1B,ATAD2,AURKB,BARD1,BCL2,BIRC5,BLM,BRCA1,BUB1,CCNA2,CCNB1,CCNE2,CDC25A,CDC25C,CDC6,CDCA4,CDCA5,CDK1,CDK2,CDT1,CENPK,CHAF1A,DDX11,DEK,DEPDC1,DHFR,DLGAP5,DONSON,E2F1,E2F2,EZH2,FAM111A,FANCA,FBXO5,FEN1,FST,GMNN,GPR19,H1-5,H2AX,HMGB2,KIF20A,LIG1,MCM10,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MCM8,MELK,MYBL2,NUSAP1,ORC1,PBK,PCLAF,PCNA,PEG10,PLK1,PTTG1,RAD51,RAD51AP1,RANBP1,RBL1,RECQL4,RFC3,RFC4,RMI1,RRM1,RRM2,SPC24,TCF19,TMEM97,TMPO,TP73,TTK,TYMS,UBE2C	195 (14)
Doxo14 vs Cycling0	CEBPB	 	transcription regulator	Inhibited	-7.995	bias	1.56E-58	ATAD2,AURKA,AURKB,BARD1,BIRC5,BRCA1,BUB1B,CCNA2,CCNB2,CDC20,CDC25B,CDC25C,CDC45,CDCA3,CDCA8,CDK1,CDKN2C,CDKN3,CDT1,CENPE,CENPM,CIT,CSF1R,CYP24A1,DDX39A,DEK,DEPDC1,DHFR,DIAPH3,DLGAP5,E2F1,ESPL1,GINS1,GINS4,H2AX,HMGB2,HMMR,KIF18B,KIF22,KIF2C,KIF4A,KPNA2,LMNB1,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MELK,MKI67,MMS22L,MXD3,MYBL2,NCAPD2,PLK1,POLA2,PTHLH,RACGAP1,RANBP1,RNASEH2A,RRM2,SHMT1,SMC4,SPAG5,SPC24,SPC25,STMN1,SUV39H1,TACC3,TCF19,TIMELESS,TK1,TMPO,TOP2A,TRIP13,UBE2S,USP1	185 (20)
Doxo21 vs Cycling0	COPS5	 	transcription regulator	 	-1.821	 	3.05E-57	ANP32E,AURKB,BIRC5,BUB1,CCNA2,CCNF,CDC20,CDKN2C,CENPF,CENPH,DBF4,DDX39A,DEPDC1,DIAPH3,DLGAP5,DSCC1,DTYMK,E2F1,ESPL1,FBXO5,GINS1,H2AX,HELLS,HMGB2,HMGB3,HMMR,KIF11,KIF15,KIF22,KIF23,LBR,LMNB1,MAD2L1,MCM2,MCM5,MCM6,MCM7,MELK,MKI67,MYBL2,NDC80,NEK2,ODC1,PBK,PCNA,PLK4,RFC2,RFC3,RNASEH2A,SAC3D1,SMC2,STIL,STMN1,SUV39H1,TK1,TMPO,TOP2A,TPX2,TROAP,TTK,USP1	241 (16)
Doxo21 vs Cycling0	RB1	 	transcription regulator	Activated	5.339	 	9.80E-57	ARHGAP11A,ASF1B,ATAD2,AURKB,BARD1,BCL2,BIRC5,BLM,BRCA1,BUB1,CCNA2,CCNB1,CCNE2,CDC25A,CDC25C,CDC6,CDCA4,CDCA5,CDK1,CDK2,CDT1,CENPK,CHAF1A,DDX11,DEK,DEPDC1,DHFR,DLGAP5,DONSON,E2F1,E2F2,EZH2,FAM111A,FANCA,FBXO5,FEN1,GMNN,GPR19,H1-5,H2AX,HMGB2,KIF20A,LIG1,MCM10,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MCM8,MELK,MYB,MYBL2,NUSAP1,ORC1,PBK,PCLAF,PCNA,PLK1,PRR11,PTTG1,RAD51,RAD51AP1,RANBP1,RBL1,RECQL4,RFC3,RFC4,RMI1,RRM1,RRM2,SPC24,TCF19,TMEM97,TMPO,TP73,TTK,TYMS,UBE2C	205 (14)
Doxo21 vs Doxo3	E2F1	-2.226	transcription regulator	Inhibited	-6.425	bias	2.86E-56	ATAD2,AURKA,AURKB,BCL2,BIRC5,BRCA1,CCNA2,CCNB1,CCNB2,CCNE2,CCNF,CDC20,CDC25A,CDC25B,CDC45,CDC6,CDCA4,CDK1,CDK2,CDKN2C,CDKN2D,CDKN3,CENPU,DBF4,DDX11,DHFR,DLGAP5,E2F1,E2F2,E2F8,EZH2,FANCD2,FBXO5,FEN1,FOXM1,GINS1,GMNN,HELLS,HMGB1,HMGB2,HMGN2,IRS1,JPT1,KIF23,MAD2L1,MAD2L2,MCM10,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MYBL2,NDC80,NUSAP1,ORC1,PCLAF,PCNA,POLA1,POLA2,PRIM1,PTTG1,RACGAP1,RAD51,RAD54L,RANBP1,RBL1,RFC2,RFC3,RFC4,RRM1,RRM2,SMC4,STMN1,TK1,TOP2A,TP73,TYMS,UHRF1	204 (17)
Palbo3 vs Cycling0	RB1	 	transcription regulator	Activated	5.118	 	4.76E-56	ARHGAP11A,ASF1B,ATAD2,AURKB,BARD1,BCL2,BIRC5,BLM,BRCA1,BUB1,CCNA2,CCNB1,CCNE2,CDC25A,CDC25C,CDC6,CDCA4,CDCA5,CDK1,CDK2,CDT1,CENPK,CHAF1A,DDX11,DEK,DEPDC1,DHFR,DLGAP5,DONSON,E2F1,E2F2,EZH2,F3,FAM111A,FANCA,FBXO5,FEN1,FOSL1,FST,GMNN,GPR19,H1-5,H2AX,HMGB2,KIF20A,LIG1,MCM10,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MCM8,MELK,MYB,MYBL2,NUSAP1,ORC1,PBK,PCLAF,PCNA,PEG10,PLK1,PRR11,PTTG1,RAD51,RAD51AP1,RANBP1,RBL1,RECQL4,RFC3,RFC4,RMI1,RRM1,RRM2,SPC24,TCF19,TMEM97,TMPO,TP73,TTK,TYMS,UBE2C	216 (14)
Palbo14 vs Cycling0	RB1	 	transcription regulator	Activated	5.118	 	4.35E-55	ARHGAP11A,ASF1B,ATAD2,AURKB,BARD1,BCL2,BIRC5,BLM,BRCA1,BUB1,CCNA2,CCNB1,CCNE2,CDC25A,CDC25C,CDC6,CDCA4,CDCA5,CDK1,CDK2,CDT1,CENPK,CHAF1A,DDX11,DEK,DEPDC1,DHFR,DLGAP5,DONSON,E2F1,E2F2,EZH2,F3,FAM111A,FANCA,FBXO5,FEN1,FOSL1,FST,GMNN,GPR19,H1-5,H2AX,HMGB2,KIF20A,LIG1,MCM10,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MCM8,MELK,MYB,MYBL2,NUSAP1,ORC1,PBK,PCLAF,PCNA,PEG10,PLK1,PRR11,PTTG1,RAD51,RAD51AP1,RANBP1,RBL1,RECQL4,RFC3,RFC4,RMI1,RRM1,RRM2,SPC24,TCF19,TMEM97,TMPO,TP73,TTK,TYMS,UBE2C	219 (14)
Doxo14 vs Cycling0	ZBTB17	 	transcription regulator	 	 	 	1.40E-54	ANLN,ASPM,AURKB,BUB1B,CCNA2,CCNB1,CCNB2,CDC20,CDCA8,CDK1,CENPF,CEP55,CKAP2,ECT2,FOXM1,HMMR,IQGAP3,KIF11,KIF18B,KIF20A,KIF22,KIF2C,KIF4A,MKI67,NCAPH,NDC80,NEK2,NUF2,NUSAP1,PBK,PIMREG,PLK1,PRC1,RACGAP1,SGO1,SGO2,TOP2A,TPX2,UBE2C	184 (14)
Doxo21 vs Doxo3	COPS5	 	transcription regulator	 	-1.736	 	1.84E-54	AURKB,BIRC5,BUB1,CCNA2,CCNF,CDC20,CDKN2C,CENPF,CENPH,DBF4,DEPDC1,DLGAP5,DSCC1,DTYMK,E2F1,ESPL1,FBXO5,GINS1,H2AX,HELLS,HMGB2,HMGB3,HMMR,KIF11,KIF15,KIF22,KIF23,LBR,LMNB1,MAD2L1,MCM2,MCM5,MCM6,MCM7,MELK,MKI67,MYBL2,NDC80,NEK2,ODC1,PBK,PCNA,PLK4,RFC2,RFC3,RNASEH2A,SAC3D1,SMC2,STIL,STMN1,SUV39H1,TK1,TMPO,TOP2A,TPX2,TROAP,TTK,USP1	234 (15)
Doxo14 vs Doxo3	E2F4	 	transcription regulator	Activated	2.219	 	4.16E-54	ASF1B,AURKB,BRCA1,CCNA2,CCNB1,CCNB2,CDC45,CDC6,CDCA3,CDKN2C,CENPA,CENPO,CKS1B,DDX11,DHFR,E2F1,E2F2,EXO1,FOXM1,GINS1,H2AZ1,HMMR,KIF22,MAD2L1,MCM10,MCM5,MCM6,MYBL2,NEK2,OIP5,ORC1,PCLAF,PRC1,PTTG1,RAD51,RAD54L,RFC2,RFC3,RRM2,STMN1,TCF19,TK1,TMPO,TOP2A,TTK,UBE2C,UHRF1,ZWINT	79 (7)
