© 2000-2025 QIAGEN. All rights reserved.

Analysis	Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
Palbo14 vs Cycling0	PPARGC1A	 	transcription regulator	Inhibited	-3.233	bias	2.39E-10	ANG,CCN4,CEBPD,CFH,COL1A2,COL6A2,DCN,DPT,GAS6,GPC6,LUM,MAPK8IP2,PDGFRL,PDPN,PLA2R1,PTGS2,PTPRN,SERPINE2,SLIT3,SYT7,TIMP3,TNFRSF11B,TNFSF10,VCAN	106 (16)
Palbo14 vs Cycling0	SMAD3	 	transcription regulator	Activated	3.692	bias	3.19E-10	CARMN,CDH11,COL1A2,COL3A1,COL6A1,COL6A2,FN1,JAM2,LUM,PTGS2,SERPINE1,SERPINE2,SNAI1,SPARC,TAGLN,THBS2,TIMP3,TNC,TPM2,VCAN	110 (19)
Doxo21 vs Cycling0	RUNX2	 	transcription regulator	 	-1.279	bias	3.91E-10	C4A,COL1A1,COL3A1,DPYSL3,LUM,PCDH18,PDGFRB,SNAI1,TAGLN,TNFRSF11B,WNT10B	64 (15)
Palbo3 vs Cycling0	ARID1A	 	transcription regulator	Activated	2.436	 	6.01E-10	APLN,C4A,CA9,CCN4,COL1A1,COL1A2,COL5A1,EDIL3,FBN1,ITGB8,KRT18,P3H3,PDGFRB,PIK3IP1,SPRY1,TGFB3,THBS2,TNFRSF11B,VASN,WNT2B	76 (15)
Palbo3 vs Cycling0	HIF1A	 	transcription regulator	Activated	4.057	bias	6.49E-10	APLN,CA9,CCL5,CEBPD,CEMIP,COL1A1,COL1A2,COL3A1,COL5A1,DDIT4,HIF1A-AS3,KRT18,MUC1,PPFIA4,PRKN,PTGS2,SLC16A4,TGFB2,TGFB3,TNFRSF11B,TNFSF10,WNT10B	68 (18)
Doxo14 vs Cycling0	TWIST1	 	transcription regulator	Inhibited	-3.206	bias	7.55E-10	CHI3L1,COL1A1,DPYSL3,FAT4,GBP2,IGFBP4,PCDH18,PCOLCE,S100A4,SNAI1,TGFB2,TGFBI,THBS2,VCAN	73 (11)
Doxo14 vs Cycling0	MYOCD	 	transcription regulator	 	0.269	bias	1.27E-09	COL1A1,COL1A2,COL3A1,FAP,GJA1,S100A4,SCN9A,SNAI1,TAGLN,VCAN	16 (3)
Palbo28 vs Palbo3	ARID1A	 	transcription regulator	 	0.088	 	1.67E-09	APLN,C4A,CA9,CCN5,COL1A1,FSCN1,HAS1,NNMT,PDGFRB,SMAD6,SPRY1,TGFB3,TIMP3,TNC,TNFRSF11B	39 (7)
Palbo14 vs Cycling0	MRTFB	 	transcription regulator	Activated	3.679	bias	1.91E-09	ACTG2,CCL5,COL3A1,COL5A2,FN1,GPR37,ITGA11,LOXL1,MAP2,PDGFRL,PTGS2,SERPINE1,SLIT3,TAGLN,WTIP	69 (9)
Palbo14 vs Cycling0	STAT3	 	transcription regulator	Activated	3.183	bias	2.27E-09	APLN,ASIC1,CA9,CCL5,CDH11,CEBPD,CFH,CHI3L1,COL1A2,COL3A1,COL5A1,DDIT4,ENPP2,FN1,FSCN1,IKZF2,MAP2,MUC1,PDK1,PECAM1,PTGS2,SELL,SERPINE1,SERPINE2,SNAI1,TAGLN,THBS2,TNFSF10,TNS1,VCAN	120 (20)
Doxo21 vs Cycling0	MYOCD	 	transcription regulator	 	-0.758	bias	2.47E-09	ACTC1,COL1A1,COL3A1,FAP,GJA1,SCN9A,SNAI1,TAGLN,VCAN	13 (3)
Doxo14 vs Cycling0	TEAD2	 	transcription regulator	Inhibited	-2.828	bias	2.55E-09	COL3A1,COL5A2,FILIP1L,LOXL1,PCDH18,PDGFRL,TAGLN,THBS1	 
Doxo14 vs Cycling0	MRTFB	 	transcription regulator	Inhibited	-3.549	bias	2.60E-09	ACTG2,COL1A1,COL3A1,COL5A2,FILIP1L,GAS1,ITGA11,LOXL1,PCDH18,PDGFRL,TAGLN,TGFB2,THBS1	47 (8)
Doxo14 vs Cycling0	TEAD3	 	transcription regulator	Inhibited	-2.828	bias	3.51E-09	COL3A1,COL5A2,FILIP1L,LOXL1,PCDH18,PDGFRL,TAGLN,THBS1	 
Doxo21 vs Cycling0	GATA4	 	transcription regulator	 	-1.011	 	3.53E-09	ACTC1,ACTG2,CA12,COL1A1,COL3A1,CTHRC1,FAP,GAS1,GJA1,INMT,LDHA,TAGLN,TGFBI	26 (4)
Palbo28 vs Cycling0	PPARGC1A	 	transcription regulator	 	-1.222	 	6.33E-09	ANG,CFH,COL1A2,DCN,DPT,GAS6,GPC6,LUM,MAPK8IP2,PDPN,PLA2R1,PTGS2,PTPRN,SLIT3,SYT7,TIMP3,TNFRSF11B,TNFSF10	41 (7)
Doxo14 vs Cycling0	GATA4	 	transcription regulator	 	0.074	 	8.77E-09	ACTG2,CA12,COL1A1,COL1A2,COL3A1,CTHRC1,FAP,GAS1,GJA1,INMT,LDHA,S100A4,TAGLN,TGFBI	30 (4)
Doxo3 vs Cycling0	ARID1A	 	transcription regulator	 	-0.514	 	1.16E-08	ARID5B,C4A,CA9,CCDC80,CCN5,DPYSL3,EDIL3,PDGFRB,PLXND1,S100A4,SMAD6,SNAI1,TAGLN,THBS1,TNC,TNFRSF11B,ZFP36	56 (11)
Doxo21 vs Cycling0	HMG20A	 	transcription regulator	Inhibited	-2.985	bias	1.27E-08	DCN,IGFBP4,NNMT,PDGFRB,SGCD,SNAI1,TAGLN,TNFRSF11B,VCAN	 
Doxo21 vs Cycling0	MRTFB	 	transcription regulator	Inhibited	-3.257	bias	1.88E-08	ACTG2,COL1A1,COL3A1,FHL1,FILIP1L,GAS1,MAP2,PCDH18,PDGFRL,TAGLN,THBS1	35 (9)
Palbo14 vs Cycling0	FOXA2	 	transcription regulator	 	0.239	bias	2.55E-08	ACTC1,ACTG2,AK4,AKR1C1,CHI3L1,CNTN1,COL1A2,CYSLTR2,DCN,DDIT4,PCDHGA1,PDGFD,PROS1,PTPRN,SERPINE1,SNAI1,SOD3,STAT5A,TAGLN,TPM2	82 (9)
Doxo14 vs Cycling0	HIF1A	 	transcription regulator	Inhibited	-3.416	bias	2.64E-08	APLN,CA9,CEMIP,COL1A1,COL1A2,COL3A1,COL5A1,DDIT4,FUT11,GJA1,HILPDA,LDHA,LOXL1,MUC1,SNAI1,TGFB2,THBS1,TNFRSF11B,TNFSF10,WNT10B	100 (22)
Doxo14 vs Cycling0	NOTCH3	 	transcription regulator	 	0.185	 	2.87E-08	COL1A2,COL3A1,COL5A1,GPC6,ITGA11,PDGFRB,SGCD,SPARC,STAT5A,TAGLN,THBS1	 
Palbo14 vs Cycling0	MYOCD	 	transcription regulator	 	-0.026	bias	2.90E-08	ACTC1,COL1A2,COL3A1,ECM2,FAP,FN1,LMOD1,SNAI1,TAGLN,VCAN	42 (7)
Doxo14 vs Cycling0	SMAD3	 	transcription regulator	Inhibited	-3.488	bias	3.21E-08	CARMN,COL1A1,COL1A2,COL3A1,FBN1,LUM,PCOLCE,SNAI1,SPARC,TAGLN,TGFB2,THBS1,THBS2,VCAN,ZFP36	89 (22)
Palbo14 vs Cycling0	NFKBIA	 	transcription regulator	Activated	2.996	bias	3.52E-08	CCL5,CEBPD,CHI3L1,COL1A2,COL3A1,COL5A2,DCN,ENPP2,FN1,FSCN1,HAS1,KRT18,MSC,PTGS2,SERPINE2,SOD3,TIMP3,TNC,TNFRSF11B,TNFSF10	119 (21)
Doxo14 vs Cycling0	CEBPA	 	transcription regulator	 	-0.043	bias	4.89E-08	AKR1C2,APLN,CHI3L1,COL1A1,COL1A2,GAS1,GJA1,IGFBP4,PLXND1,RARRES2,RGS2,TAGLN,TGFB2,THBS1,TNFSF10,TSC22D3,VCAN	87 (16)
Palbo14 vs Cycling0	TWIST1	 	transcription regulator	Activated	2.703	bias	4.92E-08	CCN4,CHI3L1,COL6A1,DCN,DKK3,EMILIN1,FN1,GBP2,IGFBP4,MXRA8,SNAI1,THBS2,TIMP3,VCAN	75 (7)
Palbo14 vs Cycling0	GLIS1	 	transcription regulator	 	1.800	bias	5.09E-08	CHI3L1,COL1A2,COL6A2,EFEMP1,LOXL1,SPARC,TIMP3	 
Doxo14 vs Cycling0	STAT3	 	transcription regulator	Inhibited	-2.737	bias	5.39E-08	APLN,ASIC1,CA9,CHI3L1,COL1A1,COL1A2,COL3A1,COL5A1,DDIT4,DLL1,FBN1,GJA1,LDHA,MUC1,SELL,SMAD6,SNAI1,TAGLN,THBS1,THBS2,TNFSF10,VCAN,ZFP36	89 (23)
Palbo14 vs Cycling0	SMAD7	 	transcription regulator	Inhibited	-2.389	bias	5.40E-08	CCL5,COL1A2,COL3A1,COL6A1,DCN,EFEMP1,FN1,GAS6,SERPINE1,TAGLN,TIMP3,TPM2	83 (15)
Palbo14 vs Palbo3	EPAS1	 	transcription regulator	 	1.146	bias	7.05E-08	APLN,CA12,CA9,CCN5,EGLN3,FN1,LDHA,TGFB3,TMEM45A,TNFRSF11B,WNT10B	 
Palbo14 vs Cycling0	CEBPD	1.674	transcription regulator	Activated	3.121	bias	7.56E-08	AKR1C1,CEBPD,COL1A2,COL5A1,COL6A1,COL6A2,DEPP1,FN1,PTGS2,TNC,TNFAIP6	103 (19)
Palbo28 vs Palbo3	PAX3	 	transcription regulator	 	 	 	9.55E-08	DUSP2,F2RL1,FILIP1L,NMU,NNMT,RARRES2,TIMP3,TNC,VCAN	 
Palbo28 vs Cycling0	EPAS1	 	transcription regulator	Activated	2.180	bias	1.08E-07	APLN,CA12,CA9,CCN5,CEMIP,FHL1,FN1,NRN1,SERPINE1,SLC16A4,TMEM45A,TNFRSF11B,WNT10B	35 (7)
Doxo14 vs Cycling0	NFE2L2	 	transcription regulator	 	-1.133	bias	1.44E-07	AKR1C1,AKR1C3,CBS,COL1A1,COL3A1,DDIT4,GSTA4,HILPDA,INMT,KCNMB4,LDHA,LUM,S100A4,SELL,SNAI1,ST8SIA4,TAGLN,TGFB2,TGFBI,THBS1,TSC22D3	92 (19)
Palbo14 vs Cycling0	NPM1	 	transcription regulator	Activated	3.464	bias	1.56E-07	AKR1C2,ANG,CDH11,COL5A1,COL6A2,EDIL3,EGLN3,FN1,HILPDA,MXRA5,SERPINE2,TCAF2	 
Doxo14 vs Cycling0	FOXA2	 	transcription regulator	 	1.066	bias	1.56E-07	ACTG2,AKR1C1,CHI3L1,COL1A1,COL1A2,CTHRC1,DDIT4,MT1E,PDGFD,PDGFRB,SNAI1,SPEF2,STAT5A,TAGLN,TGFB2,THBS1	85 (18)
Palbo14 vs Cycling0	RUNX2	 	transcription regulator	 	1.102	bias	1.60E-07	C4A,CEBPD,COL1A2,COL3A1,FN1,HTRA1,LUM,SERPINE1,SNAI1,TAGLN,TNFRSF11B	105 (21)
Doxo21 vs Cycling0	PAX3	 	transcription regulator	 	 	 	1.64E-07	DUSP2,F2RL1,FHL1,FILIP1L,IFITM2,LRRC17,NMU,NNMT,RARRES2,VCAN	 
Doxo3 vs Cycling0	RUNX2	 	transcription regulator	 	-0.816	bias	1.72E-07	C4A,DPYSL3,PDGFRB,SERPINE1,SMAD6,SNAI1,TAGLN,TNFRSF11B,WNT10B	36 (8)
Palbo14 vs Cycling0	NEUROG1	 	transcription regulator	 	-0.707	 	2.30E-07	C1S,CEMIP,CFH,COL3A1,CYSLTR2,FAP,FN1,MFAP4	 
Doxo21 vs Cycling0	FOS	 	transcription regulator	 	0.282	bias	2.31E-07	APLN,CDON,COL18A1,COL1A1,GAS1,GJA1,HAS1,LDHA,PAOX,PTPRN,SERPINE2,SNAI1,TET1,TGFBI,TNFRSF11B,WNT10B	57 (10)
Palbo14 vs Palbo3	PPARGC1A	 	transcription regulator	Inhibited	-2.185	 	2.34E-07	ANG,CCN4,CFH,DCN,DPT,LDHA,LUM,PDGFRL,PTGS2,PTPRN,SYT7,TIMP3,TNFRSF11B	45 (10)
Palbo28 vs Cycling0	SMAD4	 	transcription regulator	 	1.973	 	2.40E-07	ANGPT1,APLN,CBS,CCL5,COL1A2,FN1,FSCN1,HMCN1,JAM2,PTGS2,SERPINE1,SMAD6,SMO,TIMP3,TNC	58 (18)
Doxo14 vs Cycling0	TEAD4	 	transcription regulator	Inhibited	-2.931	bias	2.48E-07	COL3A1,COL5A2,FILIP1L,LOXL1,PCDH18,PDGFRL,SNAI1,TAGLN,THBS1	 
Palbo28 vs Palbo3	EPAS1	 	transcription regulator	 	1.654	 	3.44E-07	APLN,CA12,CA9,CCN5,CEMIP,EGLN3,LDHA,NRN1,TGFB3,TNFRSF11B	 
Doxo21 vs Cycling0	TEAD2	 	transcription regulator	Inhibited	-2.449	bias	3.57E-07	COL3A1,FILIP1L,PCDH18,PDGFRL,TAGLN,THBS1	34 (7)
Doxo21 vs Cycling0	CEBPA	 	transcription regulator	 	0.093	bias	3.70E-07	APLN,COL1A1,FHL1,GAS1,GJA1,IGFBP4,PLXND1,RARRES2,RGS2,TAGLN,THBS1,TNFSF10,TSC22D3,VCAN	72 (12)
Palbo14 vs Cycling0	EPAS1	 	transcription regulator	 	1.870	bias	3.71E-07	APLN,CA12,CA9,CCN5,CEBPD,CEMIP,EGLN3,FN1,HILPDA,NRN1,PECAM1,SERPINE1,SLC16A4,TMEM45A,TNFRSF11B	84 (10)
Palbo28 vs Cycling0	RUNX2	 	transcription regulator	 	1.082	bias	3.91E-07	C4A,COL1A2,FN1,HTRA1,LUM,SERPINE1,SMAD6,TNFRSF11B,WNT10B	35 (7)
Doxo21 vs Cycling0	ARID2	 	transcription regulator	 	0.946	bias	4.02E-07	COL1A1,HAS1,PTPRN,SNAI1,SSC5D,THBS1	 
Palbo14 vs Palbo3	SMAD4	 	transcription regulator	 	1.728	 	4.14E-07	APLN,CBS,CCL5,FN1,FSCN1,JAM2,PTGS2,SMAD6,TIMP3,TNC,TNFAIP6,WNT2B	51 (17)
Palbo14 vs Cycling0	SP1	 	transcription regulator	Activated	3.434	bias	4.14E-07	CCL5,CEBPD,CHI3L1,COL1A2,FN1,HAS1,IGFBP4,JAM2,KRT18,PDK1,PTGS2,RECK,SELL,SERPINE1,SERPINE2,SNAI1,SNAP25,SPARC,TAGLN,TIMP3,TNC,TNFSF10	112 (21)
Doxo21 vs Cycling0	TEAD3	 	transcription regulator	Inhibited	-2.449	bias	4.51E-07	COL3A1,FILIP1L,PCDH18,PDGFRL,TAGLN,THBS1	 
Doxo21 vs Cycling0	TWIST1	 	transcription regulator	Inhibited	-3.128	bias	4.68E-07	COL1A1,DCN,DPYSL3,EMILIN1,IGFBP4,PCDH18,PCOLCE,SNAI1,TGFBI,VCAN	57 (10)
Doxo3 vs Cycling0	TEAD2	 	transcription regulator	Inhibited	-2.449	bias	5.46E-07	ARID5B,FILIP1L,LOXL1,PDGFRL,TAGLN,THBS1	 
Palbo14 vs Cycling0	SMAD2	 	transcription regulator	Activated	2.236	bias	5.85E-07	CARMN,COL1A2,COL3A1,FN1,SERPINE1,SERPINE2,SNAI1,SYT7,TIMP3,TPM2	94 (16)
Palbo14 vs Cycling0	STAT1	 	transcription regulator	 	1.815	bias	5.86E-07	C1R,C1S,C4B,CCL5,CEBPD,COL3A1,CYSLTR2,EGLN3,FN1,GBP2,HTRA1,IFITM2,MUC1,PECAM1,PTGS2,SELL,TNC,TNFSF10	105 (18)
Palbo14 vs Palbo3	NFKBIA	 	transcription regulator	Activated	2.659	 	6.14E-07	CCL5,CHI3L1,DCN,ENPP2,FN1,FSCN1,HAS1,PTGS2,SOD3,TIMP3,TNC,TNFRSF11B	58 (20)
Palbo28 vs Palbo3	FOXA1	 	transcription regulator	Inhibited	-2.121	 	6.72E-07	ACTG2,CA12,EFNA3,LDHA,PDGFRB,PDK1,PPFIA4,STAT5A,TGFB3	14 (2)
Palbo3 vs Cycling0	RUNX2	 	transcription regulator	 	1.957	bias	6.84E-07	C4A,CEBPD,COL1A1,COL1A2,COL3A1,LUM,PDGFRB,TNFRSF11B,WNT10B	68 (16)
Doxo3 vs Cycling0	TEAD3	 	transcription regulator	Inhibited	-2.449	bias	6.89E-07	ARID5B,FILIP1L,LOXL1,PDGFRL,TAGLN,THBS1	 
Palbo14 vs Cycling0	SPDEF	 	transcription regulator	Inhibited	-2.828	bias	7.08E-07	CDH11,COL5A1,COL5A2,COL6A1,COL6A2,DKK3,SERPINE1,TNC	 
Doxo14 vs Cycling0	MRTFA	 	transcription regulator	Inhibited	-3.081	bias	7.08E-07	ACTG2,CCN5,COL1A1,COL3A1,COL5A2,GAS1,ITGA11,LOXL1,TAGLN,TGFB2,THBS1	49 (8)
Palbo3 vs Cycling0	FOXA2	 	transcription regulator	 	0.707	bias	7.10E-07	CHI3L1,CNTN1,COL1A1,COL1A2,CYSLTR2,DCN,DDIT4,PCDHGA1,PDGFD,PDGFRB,PTPRN,STAT5A,TGFB2,TGFB3,TPM2	45 (8)
Doxo21 vs Cycling0	PPARGC1A	 	transcription regulator	Activated	2.516	 	8.44E-07	DCN,DPT,GPAM,GPC6,LDHA,LUM,PDGFRL,PTPRN,SERPINE2,SERPINH1,SYT7,TNFRSF11B,TNFSF10,VCAN	 
Palbo14 vs Cycling0	HTT	 	transcription regulator	Activated	3.000	 	9.07E-07	ATP8A1,C1R,CA12,CCL5,CCN4,CDH11,COL6A1,DBP,DCN,DKK3,ENPP2,FN1,KCNK2,MAP2,MFAP4,OPRL1,P4HA1,PDK1,RAB17,SNAP25,ST8SIA4,TAGLN,THBS2,TIMP3,TPM2	112 (21)
Palbo14 vs Cycling0	HOXD13	 	transcription regulator	 	 	 	1.17E-06	ANGPT1,COL5A2,FN1,SERPINE2,TNC	 
Doxo3 vs Cycling0	SMAD3	 	transcription regulator	Inhibited	-2.466	bias	1.23E-06	CARMN,CDH11,JAM2,PCOLCE,SERPINE1,SNAI1,TAGLN,TGFB2,THBS1,TNC,VCAN,ZFP36	75 (21)
Palbo14 vs Palbo3	FOXA1	 	transcription regulator	 	-1.414	bias	1.25E-06	ACTG2,CA12,EFNA3,LDHA,P4HA1,PDK1,PPFIA4,STAT5A,TGFB3	12 (2)
Doxo21 vs Cycling0	NFE2L2	 	transcription regulator	 	-0.420	bias	1.25E-06	ACTC1,AKR1C1,AKR1C3,CBS,COL1A1,COL3A1,DDIT4,INMT,KCNMB4,LDHA,LUM,SNAI1,ST8SIA4,TAGLN,TGFBI,THBS1,TSC22D3	68 (16)
Palbo28 vs Palbo3	VHL	 	transcription regulator	 	-1.067	 	1.33E-06	CA12,CA9,COL1A1,EGLN3,FILIP1L,LDHA,PDK1,TNFSF10	37 (8)
Doxo21 vs Cycling0	STAT3	 	transcription regulator	Inhibited	-2.431	bias	1.35E-06	APLN,ASIC1,CA9,CDON,COL1A1,COL3A1,DDIT4,DLL1,GJA1,LDHA,MAP2,SERPINE2,SNAI1,TAGLN,THBS1,TNFSF10,VCAN,ZFP36	72 (22)
Doxo21 vs Cycling0	FOXA2	 	transcription regulator	 	-0.640	bias	1.39E-06	ACTC1,ACTG2,AKR1C1,COL1A1,CTHRC1,DCN,DDIT4,MT1E,PDGFRB,PTPRN,SNAI1,TAGLN,THBS1	58 (14)
Doxo14 vs Cycling0	HMG20A	 	transcription regulator	Inhibited	-2.813	bias	1.41E-06	IGFBP4,NNMT,PDGFRB,SGCD,SNAI1,TAGLN,TNFRSF11B,VCAN	 
Palbo14 vs Cycling0	SMARCA4	 	transcription regulator	Activated	2.964	bias	1.50E-06	CA14,CDH11,CNTN1,ECM2,FN1,IFITM2,IGFBP4,KRT18,LUM,MUC1,MYRF,PDK1,PPFIA4,SERPINE1,SERPINE2,SNAI1,SOD3,TAGLN,TCAF2,TCIM,TNFSF10,ZBED10P	100 (17)
Doxo21 vs Cycling0	TP53	 	transcription regulator	Inhibited	-3.169	 	1.62E-06	CA9,CBS,CCDC80,COL18A1,COL1A1,COL3A1,DBP,DCN,DDIT4,DUSP2,EDIL3,EMILIN1,FHL1,GAS1,GJA1,IGFBP4,INMT,LDHA,LRRC17,NMU,PDGFRB,PTPRN,SERPINE2,SERPINH1,SNAI1,TET1,TGFB1I1,TGFBI,THBS1,TNFSF10,TSC22D3,VCAN,ZFP36	65 (18)
Palbo14 vs Palbo3	FOS	 	transcription regulator	 	1.404	bias	1.66E-06	APLN,CCL5,CHI3L1,COL6A1,FN1,HAS1,LDHA,PAOX,PTGS2,PTPRN,SDK1,TNFRSF11B,WNT10B	54 (18)
Doxo14 vs Cycling0	PAX3	 	transcription regulator	 	 	 	1.66E-06	COL1A2,DUSP2,FILIP1L,IFITM2,LRRC17,NMU,NNMT,RARRES2,TGFB2,VCAN	69 (7)
Palbo14 vs Cycling0	SMAD4	 	transcription regulator	Activated	3.014	 	2.13E-06	ANGPT1,APLN,CCL5,COL1A2,FAP,FN1,FSCN1,HMCN1,JAM2,PTGS2,SERPINE1,SERPINE2,SNAI1,TIMP3,TNC,TNFAIP6,TPM2	100 (21)
Palbo28 vs Cycling0	SP3	 	transcription regulator	 	1.260	bias	2.18E-06	BMF,CBS,CHI3L1,COL1A2,ITGB8,JAM2,PTGS2,RECK,SERPINE1,TNC	57 (13)
Palbo14 vs Cycling0	NFE2L2	 	transcription regulator	 	-0.349	bias	2.49E-06	ACTC1,AKR1C1,ANG,ANGPT1,CCL5,CFH,COL3A1,DDIT4,FN1,HILPDA,INMT,KCND1,KCNMB4,LUM,PTGS2,SELL,SERPINE1,SNAI1,SOD3,ST8SIA4,TAGLN,TIMP3,TSC22D3	117 (20)
Palbo3 vs Cycling0	NOTCH3	 	transcription regulator	 	1.575	 	2.51E-06	CDH11,COL1A2,COL3A1,COL5A1,DCN,ITGA11,PDGFRB,SPARC,STAT5A	 
Palbo3 vs Cycling0	STAT3	 	transcription regulator	Activated	2.180	bias	2.80E-06	APLN,ASIC1,CA9,CCL5,CDH11,CEBPD,CFH,CHI3L1,COL1A1,COL1A2,COL3A1,COL5A1,DDIT4,FBN1,IKZF2,MAP2,MUC1,PTGS2,THBS2,TNFSF10	76 (20)
Palbo14 vs Palbo3	USF1	 	transcription regulator	 	1.938	bias	2.93E-06	APLN,CBS,CHI3L1,LDHA,P4HA1,PTGS2	 
Palbo3 vs Cycling0	STAT1	 	transcription regulator	 	1.546	bias	3.65E-06	C1R,C1S,C4B,CCL5,CEBPD,COL1A1,COL3A1,CYSLTR2,IFITM2,MUC1,PDGFRB,PTGS2,TGFB2,TNFSF10	72 (17)
Doxo14 vs Cycling0	SMAD4	 	transcription regulator	 	-1.573	 	3.68E-06	APLN,CBS,COL1A1,COL1A2,DLL1,FAP,GJA1,HMCN1,PDGFRB,SMAD6,SNAI1,TGFB2,THBS1,ZFP36	73 (19)
Doxo3 vs Cycling0	MRTFB	 	transcription regulator	Inhibited	-2.947	bias	3.72E-06	ACTG2,ARID5B,FILIP1L,LOXL1,PDGFRL,SERPINE1,TAGLN,TGFB2,THBS1	11 (3)
Doxo3 vs Cycling0	SMARCA4	 	transcription regulator	Inhibited	-2.943	bias	3.73E-06	C2CD6,CDH11,DLL1,IFITM2,MUC1,NRP2,PPFIA4,RGS2,SERPINE1,SMAD6,SNAI1,TAGLN,TCIM,TGFB2,TNFSF10,ZBED10P	56 (15)
