© 2000-2025 QIAGEN. All rights reserved.

Analysis	Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
Palbo28 vs Palbo3	BTG2	 	transcription regulator	Inhibited	-2.801	bias	9.17E-10	CSF2,CXCL1,CXCL8,IGFBP2,IL1A,IL1B,MMP1,NOX4	64 (19)
Palbo28 vs Palbo3	STAT3	 	transcription regulator	Activated	3.023	bias	1.03E-09	ALDH1A1,ALDH1A3,ARRDC4,BMP2,CEACAM1,CSF2,CSF3,CXCL8,GRIN2A,IKZF3,IL13RA2,IL1A,IL1B,LIF,MMP1,NOX4,NOX5,PTX3,SAA1,SERPINA1,SERPINA3,SERPINB2,THBD,TNFRSF8,VTCN1	60 (14)
Palbo14 vs Palbo3	CTNNB1	 	transcription regulator	Activated	3.311	bias	1.59E-09	AFP,ALDH1A1,ALDH1A3,BMP2,CD36,CSF3,CTNNA2,CXCL1,CXCL8,FZD3,IGFBP2,IL1A,IL1B,LAMC2,LIF,MMP1,SAA1,SERPINA1,SERPINA3,SERPINB2,SLCO2B1,STRA6,TNFAIP3,VCAM1	59 (15)
Palbo28 vs Cycling0	RELA	 	transcription regulator	Activated	3.646	bias	1.66E-09	ADAMTS4,BMP2,CCR7,CD28,CFB,CSF2,CXCL1,CXCL8,EHF,IL1A,IL1B,MMP1,MST1R,NOX5,PI3,PTX3,SAA2,SERPINB2,SHBG,TNFAIP3,TNIP1,TREM1,UGT1A1,VCAM1	82 (13)
Palbo14 vs Cycling0	RELA	 	transcription regulator	Activated	3.384	bias	2.02E-09	ADAMTS4,BMP2,CCR7,CD28,CFB,CSF2,CXCL1,CXCL8,EHF,IL1A,IL1B,MMP1,MST1R,PI3,PTX3,SAA2,SHBG,TNFAIP3,TNIP1,TREM1,UGT1A1,VCAM1	80 (13)
Palbo28 vs Palbo3	EHF	1.921	transcription regulator	 	1.541	bias	2.07E-09	CSF2,EHF,IL1B,MMP1,SAA1,SAA2,SAA4,SERPINA3,THBD,VNN1	39 (6)
Palbo14 vs Palbo3	KLF6	 	transcription regulator	Activated	2.537	bias	2.12E-09	BMP2,CFB,CXCL1,CXCL8,IL1A,IL1B,PSG3,SERPINB2,SLAMF7,TNFAIP3,TNIP1,VAV3,VCAM1	53 (13)
Doxo21 vs Doxo3	STAT3	 	transcription regulator	Activated	2.398	bias	2.29E-09	ALDH1A1,C5AR1,CEACAM1,CFB,CP,CSF2,CSF3,CXCL8,FLT1,GRIN2A,IL1A,IL1B,KRT34,LIF,MMP1,NOX5,OAS2,SAA1,SERPINA1,SERPINA3,SERPINB2,THBD,TLR4,TNFRSF8,VTCN1	68 (14)
Doxo21 vs Doxo3	EHF	3.956	transcription regulator	 	1.541	bias	2.99E-09	CSF2,EHF,IL1B,MMP1,SAA1,SAA2,SAA4,SERPINA3,THBD,VNN1	35 (6)
Palbo14 vs Cycling0	STAT3	 	transcription regulator	Activated	2.343	bias	3.18E-09	ALDH1A1,ALDH1A3,ARRDC4,BMP2,C5AR1,CCR7,CEACAM1,CFB,CP,CSF2,CSF3,CXCL8,ESR1,FLT1,IKZF3,IL13RA2,IL1A,IL1B,LIF,MMP1,NOX4,OAS2,PTX3,SAA1,SERPINA1,SERPINA3,TNFRSF8,VTCN1	80 (13)
Palbo28 vs Palbo3	NFKBIE	 	transcription regulator	 	 	 	3.23E-09	CSF2,CSF3,CXCL8,LIF,VCAM1	45 (9)
Doxo21 vs Doxo3	NFKBIE	 	transcription regulator	 	 	 	3.91E-09	CSF2,CSF3,CXCL8,LIF,VCAM1	35 (8)
Doxo14 vs Doxo3	EHF	4.113	transcription regulator	 	1.327	bias	6.68E-09	CSF2,EHF,IL1B,MMP1,SAA1,SAA2,SAA4,THBD,VNN1	29 (5)
Doxo14 vs Cycling0	RELA	 	transcription regulator	Activated	3.509	bias	9.35E-09	ADAMTS4,BMP2,CCR7,CD28,CFB,CSF2,CXCL1,CXCL8,EHF,IL1A,IL1B,MMP1,MST1R,PI3,PTX3,SAA2,SERPINB2,SHBG,TNFAIP3,TNIP1,TREM1,UGT1A1,VCAM1	91 (13)
Palbo28 vs Palbo3	NFKB1	 	transcription regulator	Activated	2.844	bias	1.09E-08	ADAMTS4,BMP2,CSF2,CSF3,CXCL1,CXCL8,EHF,IL1A,IL1B,NOX5,PI3,PTX3,TNFAIP3,TNIP1,VCAM1	67 (14)
Palbo14 vs Cycling0	NFKBIE	 	transcription regulator	 	 	 	1.20E-08	CSF2,CSF3,CXCL8,LIF,VCAM1	41 (9)
Palbo14 vs Palbo3	NFKBIA	 	transcription regulator	 	1.571	 	1.77E-08	BMP2,CP,CSF2,CSF3,CXCL1,CXCL8,HLA-L,IL1A,IL1B,LIF,MMP1,PTX3,SERPINB2,TNFAIP3,VCAM1	50 (17)
Palbo14 vs Palbo3	NPM1	 	transcription regulator	Activated	3.162	bias	2.44E-08	BMP2,CSF3,CXCL1,CXCL8,IL1A,IL1B,LAMC2,LIF,PLXNB3,TNFAIP3	57 (24)
Palbo28 vs Cycling0	NFKBIE	 	transcription regulator	 	 	 	2.67E-08	CSF2,CSF3,CXCL8,LIF,VCAM1	57 (9)
Palbo3 vs Cycling0	EHF	2.878	transcription regulator	 	1.327	bias	2.69E-08	CSF2,EHF,IL1B,MMP1,SAA1,SAA2,SAA4,SERPINA3,VNN1	 
Doxo14 vs Cycling0	NFKBIE	 	transcription regulator	 	 	 	2.77E-08	CSF2,CSF3,CXCL8,LIF,VCAM1	54 (9)
Palbo28 vs Palbo3	NPM1	 	transcription regulator	Activated	3.317	bias	2.98E-08	BMP2,CEACAM1,CSF3,CXCL1,CXCL8,IL1A,IL1B,LAMC2,LIF,PLXNB3,TNFAIP3	58 (17)
Doxo21 vs Cycling0	NFKBIE	 	transcription regulator	 	 	 	3.31E-08	CSF2,CSF3,CXCL8,LIF,VCAM1	59 (9)
Doxo21 vs Cycling0	BTG2	 	transcription regulator	Inhibited	-2.801	bias	3.48E-08	CSF2,CXCL1,CXCL8,IGFBP2,IL1A,IL1B,MMP1,NOX4	89 (20)
Doxo21 vs Doxo3	RELA	 	transcription regulator	Activated	3.101	bias	4.19E-08	CD28,CFB,CSF2,CXCL1,CXCL8,EHF,IL1A,IL1B,MMP1,NOX5,PI3,SAA2,SERPINB2,SHBG,TNIP1,TREM1,UGT1A1,VCAM1	67 (14)
Palbo28 vs Palbo3	SMARCA4	 	transcription regulator	Activated	3.464	bias	5.57E-08	AFP,ALDH1A3,ARRDC4,CEACAM1,CXCL1,CXCL8,EHF,HLA-L,IL1A,IL1B,IL36B,KCNQ3,LAMC2,MMP1,ODAPH,PTX3,SERPINB2,TNFAIP3,TNNT2,TREM1	60 (15)
Palbo14 vs Cycling0	NFKB1	 	transcription regulator	Activated	2.844	bias	5.68E-08	ADAMTS4,BMP2,CFB,CSF2,CSF3,CXCL1,CXCL8,EHF,IL1A,IL1B,PI3,PTGER3,PTX3,TNFAIP3,TNIP1,VCAM1	69 (14)
Palbo28 vs Cycling0	STAT1	 	transcription regulator	Activated	2.424	bias	5.82E-08	ALDH1A3,CCR7,CFB,CSF2,CXCL1,CXCL8,DUOX2,GRIN2A,IL1A,IL1B,LIF,LRRTM2,NOX4,NOX5,OAS2,SAA2,SERPINA3,TLR4,TNFAIP3,VCAM1	91 (14)
Palbo14 vs Palbo3	RBCK1	 	transcription regulator	 	 	 	6.40E-08	CXCL1,CXCL8,ESR1,IL1A,TNFAIP3,VCAM1	49 (19)
Palbo28 vs Palbo3	STAT1	 	transcription regulator	Activated	2.245	bias	8.33E-08	ALDH1A3,CSF2,CXCL1,CXCL8,DUOX2,GRIN2A,IL1A,IL1B,LIF,LRRTM2,NOX4,NOX5,SAA2,SERPINA3,TNFAIP3,VCAM1	59 (15)
Palbo28 vs Palbo3	CTNNB1	 	transcription regulator	Activated	3.311	bias	8.85E-08	AFP,ALDH1A1,ALDH1A3,BMP2,CD36,CEACAM1,CSF3,CTNNA2,CXCL1,CXCL8,FZD3,IGFBP2,IL1A,IL1B,LAMC2,LIF,MMP1,SAA1,SERPINA1,SERPINA3,SERPINB2,SLCO2B1,STRA6,TNFAIP3,VCAM1	70 (15)
Palbo28 vs Cycling0	NFKB1	 	transcription regulator	Activated	3.000	bias	9.38E-08	ADAMTS4,BMP2,CFB,CSF2,CSF3,CXCL1,CXCL8,EHF,IL1A,IL1B,NOX5,PI3,PTGER3,PTX3,TNFAIP3,TNIP1,VCAM1	60 (13)
Palbo14 vs Palbo3	HMGB2	 	transcription regulator	 	 	 	9.93E-08	CD36,CSF3,CXCL1,CXCL8,IL1B,MMP1	51 (15)
Palbo14 vs Palbo3	SMARCA4	 	transcription regulator	Activated	3.162	bias	1.13E-07	AFP,ALDH1A3,ARRDC4,CP,CXCL1,CXCL8,HLA-L,IL1A,IL1B,IL36B,KCNQ3,LAMC2,MMP1,PTX3,SERPINB2,TNFAIP3,TNNT2	55 (17)
Palbo28 vs Cycling0	EHF	4.800	transcription regulator	 	1.541	bias	1.14E-07	CSF2,EHF,IL1B,MMP1,SAA1,SAA2,SAA4,SERPINA3,THBD,VNN1	50 (6)
Doxo21 vs Cycling0	STAT1	 	transcription regulator	Activated	2.424	bias	1.17E-07	ALDH1A3,CCR7,CFB,CSF2,CXCL1,CXCL8,DUOX2,GRIN2A,IL1A,IL1B,LIF,LRRTM2,NOX4,NOX5,OAS2,SAA2,SERPINA3,TLR4,TNFAIP3,VCAM1	86 (15)
Doxo14 vs Cycling0	EHF	5.801	transcription regulator	 	1.541	bias	1.22E-07	CSF2,EHF,IL1B,MMP1,SAA1,SAA2,SAA4,SERPINA3,THBD,VNN1	49 (6)
Palbo14 vs Palbo3	JUN	 	transcription regulator	Activated	2.362	bias	1.42E-07	AFP,CSF2,CSF3,CXCL1,CXCL8,IGFBP2,IL1A,IL1B,LIF,MMP1,PTX3,SAA1,SERPINB2,VAV3,VCAM1	56 (18)
Doxo21 vs Doxo3	HMGB1	 	transcription regulator	Activated	2.907	bias	1.55E-07	CXCL8,FLT1,HLA-DRB1,IL1A,IL1B,MMP1,NEFL,TLR4,VCAM1	54 (18)
Palbo14 vs Cycling0	BTG2	 	transcription regulator	Inhibited	-2.628	bias	1.68E-07	CSF2,CXCL1,CXCL8,IL1A,IL1B,MMP1,NOX4	72 (19)
Doxo21 vs Cycling0	EHF	5.645	transcription regulator	 	1.541	bias	1.69E-07	CSF2,EHF,IL1B,MMP1,SAA1,SAA2,SAA4,SERPINA3,THBD,VNN1	52 (6)
Doxo21 vs Cycling0	NFKB1	 	transcription regulator	Activated	3.000	bias	1.72E-07	ADAMTS4,BMP2,CFB,CSF2,CSF3,CXCL1,CXCL8,EHF,IL1A,IL1B,NOX5,PI3,PTGER3,PTX3,TNFAIP3,TNIP1,VCAM1	78 (14)
Doxo14 vs Doxo3	NFKBIE	 	transcription regulator	 	 	 	1.91E-07	CSF2,CSF3,CXCL8,LIF	31 (10)
Doxo14 vs Doxo3	BTG2	 	transcription regulator	Inhibited	-2.431	bias	2.44E-07	CSF2,CXCL1,CXCL8,IL1A,IL1B,MMP1	43 (15)
Doxo14 vs Cycling0	STAT1	 	transcription regulator	Activated	2.424	bias	3.09E-07	ALDH1A3,CCR7,CFB,CSF2,CXCL1,CXCL8,DUOX2,GRIN2A,IL1A,IL1B,LIF,LRRTM2,NOX4,OAS2,SAA2,SERPINA3,TLR4,TNFAIP3,VCAM1	85 (14)
Palbo14 vs Cycling0	EHF	3.066	transcription regulator	 	1.327	bias	3.17E-07	CSF2,EHF,IL1B,MMP1,SAA1,SAA2,SAA4,SERPINA3,VNN1	45 (5)
Doxo14 vs Doxo3	RELA	 	transcription regulator	Activated	3.063	bias	3.19E-07	CD28,CFB,CSF2,CXCL1,CXCL8,EHF,IL1A,IL1B,MMP1,PI3,SAA2,SERPINB2,TNIP1,TREM1,UGT1A1	51 (15)
Palbo14 vs Cycling0	CTNNB1	 	transcription regulator	Activated	3.452	bias	3.60E-07	ABCG8,ACAP1,ALDH1A1,ALDH1A2,ALDH1A3,BMP2,CD36,CEACAM1,CSF3,CTNNA2,CXCL1,CXCL8,FZD3,HSD17B2,IL1A,IL1B,LAMC2,LIF,MMP1,PCDH15,PSAP,SAA1,SERPINA1,SERPINA3,SPRY4,STRA6,TNFAIP3,VCAM1	72 (16)
Palbo14 vs Cycling0	NPM1	 	transcription regulator	Activated	3.317	bias	4.19E-07	BMP2,CEACAM1,CSF3,CXCL1,CXCL8,IL1A,IL1B,LAMC2,LIF,PLXNB3,TNFAIP3	72 (18)
Palbo14 vs Palbo3	ARID1A	 	transcription regulator	 	-0.538	 	4.70E-07	ALDH1A1,BMP2,CD28,CXCL1,CXCL8,ESR1,IL1A,IL1B,LAMC2,PAPPA,PTX3,SERPINA1,TNFAIP3,TNNT2	62 (17)
Palbo28 vs Palbo3	HMGB2	 	transcription regulator	 	 	 	4.93E-07	CD36,CSF3,CXCL1,CXCL8,IL1B,MMP1	39 (5)
Palbo28 vs Cycling0	BTG2	 	transcription regulator	Inhibited	-2.628	bias	4.97E-07	CSF2,CXCL1,CXCL8,IL1A,IL1B,MMP1,NOX4	85 (19)
Doxo14 vs Cycling0	BTG2	 	transcription regulator	Inhibited	-2.628	bias	5.22E-07	CSF2,CXCL1,CXCL8,IL1A,IL1B,MMP1,NOX4	85 (20)
Doxo14 vs Cycling0	NFKB1	 	transcription regulator	Activated	2.844	bias	5.58E-07	ADAMTS4,BMP2,CFB,CSF2,CSF3,CXCL1,CXCL8,EHF,IL1A,IL1B,PI3,PTGER3,PTX3,TNFAIP3,TNIP1,VCAM1	76 (13)
Palbo28 vs Palbo3	NFKBIA	 	transcription regulator	 	1.571	 	6.41E-07	BMP2,CSF2,CSF3,CXCL1,CXCL8,HLA-L,IL1A,IL1B,LIF,MMP1,PTX3,SERPINB2,SLC16A2,TNFAIP3,VCAM1	56 (15)
Palbo14 vs Palbo3	STAT1	 	transcription regulator	Activated	2.752	bias	6.59E-07	ALDH1A3,CFB,CSF2,CXCL1,CXCL8,IL1A,IL1B,LIF,NOX4,SAA2,SERPINA3,TNFAIP3,VCAM1	58 (20)
Palbo14 vs Cycling0	ARID1A	 	transcription regulator	 	-0.488	 	7.82E-07	ALDH1A1,ALDH1A2,BMP2,CD28,CEACAM1,CXCL1,CXCL8,ESR1,IKZF3,IL1A,IL1B,LAMC2,PAPPA,PTX3,SERPINA1,TG,TNFAIP3,TNNT2	73 (16)
Doxo21 vs Doxo3	STAT1	 	transcription regulator	 	1.299	bias	7.91E-07	CFB,CSF2,CXCL1,CXCL8,GRIN2A,IL1A,IL1B,LIF,LRRTM2,NOX5,OAS2,SAA2,SERPINA3,TLR4,VCAM1	51 (14)
Doxo21 vs Cycling0	CTNNB1	 	transcription regulator	Activated	3.588	bias	8.29E-07	ABCG8,ACAP1,ALDH1A1,ALDH1A2,ALDH1A3,BMP2,CD36,CEACAM1,CSF3,CTNNA2,CXCL1,CXCL8,FZD3,HSD17B2,IGFBP2,IL1A,IL1B,LAMC2,LIF,MMP1,PCDH15,PSAP,SAA1,SERPINA1,SERPINA3,SERPINB2,SLCO2B1,SPRY4,STRA6,TNFAIP3,VCAM1	85 (16)
Doxo3 vs Cycling0	NFKBIE	 	transcription regulator	 	 	 	8.39E-07	CSF2,CSF3,LIF,VCAM1	44 (9)
Doxo21 vs Doxo3	NFKB1	 	transcription regulator	Activated	2.490	bias	8.45E-07	CFB,CSF2,CSF3,CXCL1,CXCL8,EHF,IL1A,IL1B,NOX5,PI3,PTGER3,TNIP1,VCAM1	56 (13)
Doxo21 vs Doxo3	BTG2	 	transcription regulator	Inhibited	-2.431	bias	9.20E-07	CSF2,CXCL1,CXCL8,IL1A,IL1B,MMP1	55 (17)
Palbo28 vs Palbo3	JUN	 	transcription regulator	Activated	2.362	bias	9.36E-07	AFP,CSF2,CSF3,CXCL1,CXCL8,IGFBP2,IL1A,IL1B,LIF,MMP1,NOX5,PTX3,SAA1,SERPINB2,VAV3,VCAM1	62 (17)
Palbo28 vs Cycling0	SMARCA4	 	transcription regulator	Activated	4.000	bias	9.95E-07	ACSL5,ALDH1A3,ALDH2,ARRDC4,CEACAM1,CP,CXCL1,CXCL8,EHF,HLA-L,IL1A,IL1B,IL36B,KCNQ3,LAMC2,MELTF,MMP1,ODAPH,PTX3,SERPINB2,TNFAIP3,TNNT2,TREM1	65 (10)
Palbo28 vs Cycling0	CTNNB1	 	transcription regulator	Activated	3.588	bias	1.01E-06	ABCG8,ACAP1,ALDH1A1,ALDH1A2,ALDH1A3,BMP2,CD36,CEACAM1,CSF3,CTNNA2,CXCL1,CXCL8,FZD3,HSD17B2,IL1A,IL1B,LAMC2,LIF,MMP1,PCDH15,PSAP,SAA1,SERPINA1,SERPINA3,SERPINB2,SLCO2B1,SPRY4,STRA6,TNFAIP3,VCAM1	82 (15)
Palbo14 vs Palbo3	EHF	0.188	transcription regulator	 	0.853	bias	1.07E-06	CSF2,IL1B,MMP1,SAA1,SAA2,SERPINA3,THBD	36 (6)
Doxo14 vs Cycling0	CTNNB1	 	transcription regulator	Activated	3.588	bias	1.18E-06	ABCG8,ACAP1,ALDH1A1,ALDH1A2,ALDH1A3,BMP2,CD36,CEACAM1,CSF3,CTNNA2,CXCL1,CXCL8,FZD3,HSD17B2,IL1A,IL1B,LAMC2,LIF,MMP1,PCDH15,PSAP,SAA1,SERPINA1,SERPINA3,SERPINB2,SLCO2B1,SPRY4,STRA6,TNFAIP3,VCAM1	74 (15)
Palbo3 vs Cycling0	STAT3	 	transcription regulator	 	1.050	bias	1.18E-06	ALDH1A1,BMP2,C5AR1,CCR7,CEACAM1,CFB,CP,CSF2,CSF3,ESR1,FLT1,IL13RA2,IL1B,MMP1,OAS2,SAA1,SERPINA3,SERPINB2,TNFRSF8,VTCN1	54 (16)
Palbo28 vs Cycling0	KLF6	 	transcription regulator	Activated	3.075	bias	1.22E-06	BMP2,CFB,CXCL1,CXCL8,IL1A,IL1B,IRAK2,PSG3,SERPINB2,SLAMF7,TNFAIP3,TNIP1,VAV3,VCAM1	74 (14)
Palbo28 vs Palbo3	WWTR1	 	transcription regulator	 	-1.793	 	1.29E-06	BMP2,COL9A2,CSF2,CSF3,CXCL1,CXCL8,IL1A,IL1B,TNFRSF8,VCAM1	55 (11)
Palbo28 vs Palbo3	HMGB1	 	transcription regulator	Activated	2.570	bias	1.42E-06	AFP,CXCL8,HLA-DRB1,IL1A,IL1B,MMP1,NEFL,VCAM1	60 (21)
Palbo14 vs Cycling0	RBCK1	 	transcription regulator	 	 	 	1.47E-06	CXCL1,CXCL8,ESR1,IL1A,TNFAIP3,VCAM1	63 (17)
Palbo14 vs Palbo3	ZFP36	 	transcription regulator	Inhibited	-2.027	bias	1.47E-06	CD36,CSF2,IL1A,IL1B,MMP1,THBD,VCAM1	48 (15)
Doxo14 vs Cycling0	WWTR1	 	transcription regulator	Inhibited	-2.008	 	1.52E-06	BMP2,COL9A2,CORIN,CSF2,CSF3,CXCL1,CXCL8,ESR1,IL1A,IL1B,TNFRSF8,VCAM1	57 (9)
Doxo3 vs Cycling0	RELA	 	transcription regulator	Activated	2.773	bias	1.71E-06	ADAMTS4,BMP2,CCR7,CD28,CSF2,EHF,IGFBP2,IL1A,IL1B,MMP1,MST1R,PTX3,SAA2,SHBG,TNFAIP3,TREM1,VCAM1	71 (15)
Doxo21 vs Doxo3	WWTR1	 	transcription regulator	 	-1.793	 	1.81E-06	COL9A2,CORIN,CSF2,CSF3,CXCL1,CXCL8,IL1A,IL1B,TNFRSF8,VCAM1	44 (8)
Palbo14 vs Cycling0	WWTR1	 	transcription regulator	 	-1.793	 	1.92E-06	BMP2,CORIN,CSF2,CSF3,CXCL1,CXCL8,ESR1,IL1A,IL1B,TNFRSF8,VCAM1	50 (7)
Palbo28 vs Cycling0	ARID1A	 	transcription regulator	 	-0.488	 	1.93E-06	ALDH1A1,ALDH1A2,ARVCF,BMP2,CD28,CEACAM1,CXCL1,CXCL8,ESR1,IKZF3,IL1A,IL1B,LAMC2,PAPPA,PTX3,SERPINA1,TG,TNFAIP3,TNNT2	84 (16)
Doxo3 vs Cycling0	EHF	1.689	transcription regulator	 	1.098	bias	1.97E-06	CSF2,EHF,IL1B,MMP1,SAA1,SAA2,SAA4,SERPINA3	 
Doxo21 vs Cycling0	KLF6	 	transcription regulator	Activated	3.075	bias	2.02E-06	BMP2,CFB,CXCL1,CXCL8,IL1A,IL1B,IRAK2,PSG3,SERPINB2,SLAMF7,TNFAIP3,TNIP1,VAV3,VCAM1	80 (15)
Palbo28 vs Cycling0	NPM1	 	transcription regulator	Activated	3.317	bias	2.03E-06	BMP2,CEACAM1,CSF3,CXCL1,CXCL8,IL1A,IL1B,LAMC2,LIF,PLXNB3,TNFAIP3	84 (22)
Doxo21 vs Cycling0	SMARCA4	 	transcription regulator	Activated	4.000	bias	2.06E-06	ACSL5,ALDH1A3,ALDH2,ARRDC4,CEACAM1,CP,CXCL1,CXCL8,EHF,HLA-L,IL1A,IL1B,IL36B,KCNQ3,LAMC2,MELTF,MMP1,ODAPH,PTX3,SERPINB2,TNFAIP3,TNNT2,TREM1	67 (10)
Doxo3 vs Cycling0	BTG2	 	transcription regulator	Inhibited	-2.423	bias	2.12E-06	CSF2,IGFBP2,IL1A,IL1B,MMP1,NOX4	64 (19)
Doxo14 vs Cycling0	ARID1A	 	transcription regulator	 	-0.488	 	2.15E-06	ALDH1A1,ALDH1A2,ARVCF,BMP2,CD28,CEACAM1,CXCL1,CXCL8,ESR1,IKZF3,IL1A,IL1B,LAMC2,PAPPA,PTX3,SERPINA1,TG,TNFAIP3,TNNT2	90 (15)
Doxo14 vs Cycling0	NPM1	 	transcription regulator	Activated	3.317	bias	2.18E-06	BMP2,CEACAM1,CSF3,CXCL1,CXCL8,IL1A,IL1B,LAMC2,LIF,PLXNB3,TNFAIP3	83 (22)
Doxo21 vs Cycling0	WWTR1	 	transcription regulator	Inhibited	-2.008	 	2.20E-06	BMP2,COL9A2,CORIN,CSF2,CSF3,CXCL1,CXCL8,ESR1,IL1A,IL1B,TNFRSF8,VCAM1	61 (9)
Doxo14 vs Doxo3	WWTR1	 	transcription regulator	Inhibited	-2.415	 	2.23E-06	COL9A2,CORIN,CSF2,CSF3,CXCL1,CXCL8,IL1A,IL1B,TNFRSF8	32 (7)
Palbo14 vs Cycling0	HMGB2	 	transcription regulator	 	 	 	2.25E-06	CD36,CSF3,CXCL1,CXCL8,IL1B,MMP1	50 (10)
Palbo28 vs Palbo3	ARID1A	 	transcription regulator	 	-0.748	 	2.45E-06	ALDH1A1,BMP2,CD28,CEACAM1,CXCL1,CXCL8,IKZF3,IL1A,IL1B,LAMC2,PAPPA,PTX3,SERPINA1,TNFAIP3,TNNT2	68 (15)
Palbo3 vs Cycling0	RELA	 	transcription regulator	 	1.316	bias	2.45E-06	AFP,BMP2,CCR7,CDKL3,CFB,CSF2,EHF,IL1B,MMP1,MST1R,PI3,SAA2,SERPINB2,SHBG,UGT1A1	58 (14)
Palbo14 vs Palbo3	HMGB1	 	transcription regulator	Activated	2.400	bias	2.66E-06	AFP,CXCL8,HLA-DRB1,IL1A,IL1B,MMP1,VCAM1	57 (21)
