© 2000-2025 QIAGEN. All rights reserved.

Analysis	Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
Doxo3 vs Cycling0	TP63	 	transcription regulator	 	0.973	 	2.93E-05	AEN,APOBEC3H,CAPN6,CAVIN2,CDH3,CDKN1A,COL17A1,CSTA,DDB2,FDXR,FZD8,HGF,INHBA,JAG1,PMAIP1,PPARGC1A,PTPRU,RASGRF1,SFN,SPATA18,SPINK4,ST8SIA6	74 (6)
Palbo28 vs Cycling0	NCOA1	 	transcription regulator	 	0.555	 	4.32E-05	ADIPOQ,BTG2,CDKN1A,CYP11A1,EOMES,INSM2,NR1I3,PRLR	30 (4)
Palbo14 vs Palbo3	MED1	 	transcription regulator	 	0.896	 	4.50E-05	ADAMTS18,ADCY5,ADIPOQ,CDKN1A,CYP11A1,GCK,MPP7,MYO18B,PRLR	21 (3)
Doxo3 vs Cycling0	TP73	 	transcription regulator	Activated	2.926	bias	4.59E-05	ADORA2B,AEN,ATF3,BTG2,CADM1,CDKN1A,DDIT3,FDXR,INPP5D,JAG1,LY6D,MDK,MMP23B,PMAIP1,PPL,PRAG1,SFN,TNFRSF1B	81 (8)
Doxo3 vs Cycling0	BHLHE40	 	transcription regulator	 	1.686	bias	5.34E-05	ADORA2B,ATF3,CYBB,CYP11A1,CYP3A4,DDIT3,EOMES,GCH1,INHBA,LY75,NR1I2,PLAC8,RND3,UPP1	108 (11)
Palbo14 vs Palbo3	Rhox5	 	transcription regulator	 	-0.914	 	6.06E-05	ADIPOQ,BACH2,PPARGC1A,PTPRU	 
Palbo28 vs Palbo3	Rhox5	 	transcription regulator	 	-0.415	 	6.45E-05	ADIPOQ,BACH2,PPARGC1A,PTPRU	 
Doxo14 vs Cycling0	STAT3	 	transcription regulator	 	1.335	bias	7.01E-05	ADIPOQ,AREG,ATP6V0D2,BACH2,BEX2,BTLA,CDKN1A,DDIT3,DRAXIN,EOMES,HGF,IFI30,ISM1,PMAIP1,PPARGC1A,PRDM1,RNASE7,RNLS,TFPI2,TIGIT,TNFRSF1B,TOX,VIP	124 (18)
Palbo28 vs Palbo3	FOXA2	 	transcription regulator	 	1.195	 	9.69E-05	ADCY5,APOBR,CDKN1A,CIMAP3,COL17A1,CYP3A4,DCX,ERBB4,MTTP,SMOC1,SPINK1,UCP2	 
Palbo14 vs Palbo3	SMARCA4	 	transcription regulator	 	-0.315	 	1.08E-04	ADIPOQ,AREG,ATP2A1,CDKN1A,CYP3A4,EDNRA,HHIP,HYI,IFI30,IRAG2,LINC00589,MC5R,NPFFR2,SPANXD (includes others),WNT9A	50 (5)
Palbo14 vs Palbo3	TP53	 	transcription regulator	 	-0.415	 	1.10E-04	ACSS1,AREG,ATF3,BMX,BTK,CDH3,CDKN1A,CEL,DINOL,DNAI3,EDA2R,EDNRA,FDXR,FXYD3,GDF15,GPR87,HHIP,IFI30,IRAG2,KITLG,NPFFR2,PDE2A,PPARGC1A,PRAG1,PTCHD4,PTPRU,SFN,SHROOM3,ST14,TEX15,TFPI2,TYMSOS,WNT2,WNT9A	54 (7)
Palbo14 vs Palbo3	YAP1	 	transcription regulator	 	1.411	 	1.38E-04	AREG,ATF3,BMPR1B,CAVIN2,CDKN1A,CYP11A1,DNASE1L3,EOMES,GDF15,INPP5D,KITLG,LY75,SFN,UCP2	46 (8)
Palbo14 vs Palbo3	TRERF1	 	transcription regulator	 	 	 	1.43E-04	CDKN1A,CYP11A1	 
Palbo28 vs Palbo3	TRERF1	 	transcription regulator	 	 	 	1.47E-04	CDKN1A,CYP11A1	 
Palbo14 vs Palbo3	SIRT1	 	transcription regulator	 	0.121	 	1.57E-04	ADIPOQ,CDKN1A,CPB1,FCMR,GCK,HCK,LAPTM5,NECTIN4,PPARGC1A,SLC36A2,UCP2,WNT2	48 (15)
Palbo14 vs Cycling0	NEUROG3	 	transcription regulator	 	 	 	1.58E-04	CDKN1A,CPB1,GCK,GRPR,MDK,PPY	 
Palbo28 vs Cycling0	MED1	 	transcription regulator	 	-0.342	 	1.68E-04	ADAMTS18,ADIPOQ,CDKN1A,CYP11A1,LY6D,MPP7,MYH16,NR1I3,PRLR	18 (3)
Palbo14 vs Cycling0	TRERF1	 	transcription regulator	 	 	 	1.70E-04	CDKN1A,CYP11A1	 
Doxo14 vs Cycling0	TP73	 	transcription regulator	Activated	2.728	bias	1.71E-04	ADORA2B,AEN,ATF3,BTG2,CADM1,CDKN1A,DDIT3,FDXR,INPP5D,LY6D,MDK,PMAIP1,PPL,PRAG1,ROBO4,TNFRSF1B	68 (4)
Doxo14 vs Doxo3	FOXO1	 	transcription regulator	 	-1.304	bias	1.80E-04	ATP6V0D2,CCN3,DCX,EOMES,GCK,JAG1,PRDM1,SFN	8 (2)
Palbo28 vs Cycling0	TRERF1	 	transcription regulator	 	 	 	2.01E-04	CDKN1A,CYP11A1	 
Doxo14 vs Doxo3	STAT3	 	transcription regulator	 	-0.921	bias	2.06E-04	ATP6V0D2,BEX2,BTLA,EOMES,ESR2,HGF,IFI30,JAG1,PRDM1,TFPI2,TIGIT	 
Doxo3 vs Cycling0	PRDM1	2.146	transcription regulator	 	-0.585	 	2.09E-04	BTK,BTLA,FAM167A,HCK,JAG1,MYO18B,PLAC8,PMAIP1,PRDM1,ST14,TIGIT,TNFRSF1B	 
Doxo21 vs Cycling0	Rhox5	 	transcription regulator	 	0.415	 	2.30E-04	ADIPOQ,BACH2,PPARGC1A,PTPRU	 
Palbo28 vs Cycling0	NEUROG3	 	transcription regulator	 	 	 	2.50E-04	CDKN1A,CPB1,GRPR,INSM2,MDK,PPY	 
Palbo28 vs Cycling0	MBD2	 	transcription regulator	 	0.218	 	2.64E-04	CDKN1A,CEL,DDB2,PRLR,S100A5	 
Palbo28 vs Cycling0	LEF1	 	transcription regulator	 	0.632	 	2.66E-04	ADIPOQ,CDKN1A,DNASE1L3,GNAO1,HES7,KCNJ3,LY6D,PMAIP1,ST14,TEX15	 
Doxo14 vs Cycling0	MED1	 	transcription regulator	 	1.912	bias	2.68E-04	ADAMTS18,ADIPOQ,CDKN1A,CYP11A1,HGF,LY6D,MPP7,MYH16,MYO18B,PRDM1	 
Doxo21 vs Cycling0	TRERF1	 	transcription regulator	 	 	 	2.85E-04	CDKN1A,CYP11A1	 
Palbo14 vs Cycling0	TP63	 	transcription regulator	 	-0.636	 	2.98E-04	ADAMTS18,AEN,APOBEC3H,CAVIN2,CDH3,CDKN1A,COL17A1,CSTA,DDB2,FDXR,FZD8,RASGRF1,SFN,SPATA18,SPINK4	 
Doxo14 vs Cycling0	TCF7	 	transcription regulator	 	-0.834	 	3.01E-04	CDKN1A,DNASE1L3,EOMES,GNAO1,INPP5D,KCNJ3,LY6D,PMAIP1,PRDM1,ST14,TIGIT,TOX,VSTM2A	20 (2)
Doxo21 vs Doxo3	TFEB	 	transcription regulator	 	 	 	3.12E-04	ATP6V0D2,COL5A3,EOMES,IFI30,JAG1,LAPTM5,PPARGC1A,UPP1	 
Doxo14 vs Cycling0	Rhox5	 	transcription regulator	 	0.415	 	3.25E-04	ADIPOQ,BACH2,PPARGC1A,PTPRU	 
Palbo28 vs Palbo3	TP53	 	transcription regulator	 	-0.446	 	3.32E-04	ACER2,AREG,BTG2,BTK,CDH3,CDKN1A,CEL,COL7A1,DINOL,FDXR,FXYD3,GDF15,GPR87,HERC5,IFI30,IRAG2,KITLG,MMP23B,NPFFR2,PDE2A,PPARGC1A,PTCHD4,PTPRU,RND3,SFN,SHROOM3,SPATA18,ST14,TEX15,THBS4,TTN,VWCE,WNT2	45 (5)
Doxo14 vs Cycling0	TRERF1	 	transcription regulator	 	 	 	3.41E-04	CDKN1A,CYP11A1	 
Palbo14 vs Palbo3	FOXA2	 	transcription regulator	 	-0.447	 	3.46E-04	ADCY5,APOBR,CDKN1A,CIMAP3,CYP3A4,ERBB4,GCK,HHIP,NR1I2,SMOC1,UCP2	 
Palbo14 vs Palbo3	NKX2-1	 	transcription regulator	 	 	 	3.51E-04	AREG,BEX2,FXYD3,HCK,KITLG,SCN7A,TOX	 
Palbo14 vs Palbo3	BRCA1	 	transcription regulator	 	0.056	 	3.51E-04	AREG,CDH3,CDKN1A,CYP3A4,FXYD3,GDF15,SFN	44 (4)
Doxo14 vs Doxo3	HIF1A	 	transcription regulator	 	-1.616	bias	3.60E-04	ATP6V0D2,CCN3,EDNRA,FOLH1,GCK,HGF,HIF3A,PLAC8,TTN	 
Palbo14 vs Palbo3	TCF7	 	transcription regulator	 	-0.711	 	3.82E-04	CDKN1A,DNASE1L3,EOMES,GNAO1,INPP5D,KCNJ3,ST14,TEX15,TIGIT,TOX	 
Palbo28 vs Cycling0	TCF7	 	transcription regulator	 	1.360	 	3.82E-04	CDKN1A,DNASE1L3,EOMES,GNAO1,INPP5D,KCNJ3,LY6D,PMAIP1,ST14,TEX15,TIGIT	 
Doxo14 vs Cycling0	PRDM1	1.011	transcription regulator	 	-0.251	 	3.83E-04	BTK,BTLA,FAM167A,HCK,MYO18B,PLAC8,PMAIP1,PRDM1,ST14,TIGIT,TNFRSF1B	48 (4)
Palbo28 vs Palbo3	BRCA1	 	transcription regulator	 	0.652	 	3.86E-04	AREG,CDH3,CDKN1A,CYP3A4,FXYD3,GDF15,SFN	47 (7)
Palbo28 vs Cycling0	NOC2L	 	transcription regulator	 	 	 	4.00E-04	CDKN1A,PMAIP1	27 (4)
Doxo3 vs Cycling0	TRERF1	 	transcription regulator	 	 	 	4.06E-04	CDKN1A,CYP11A1	 
Doxo21 vs Cycling0	TP53	 	transcription regulator	Activated	4.296	 	4.16E-04	ACER2,ACSS1,ADORA2B,ATF3,BMX,BTG2,BTK,CDH3,CDKN1A,CEL,DDIT3,DINOL,DNAI3,EDA2R,EDNRA,FDXR,FXYD3,GDF15,GPR87,HGF,IFI30,INHBA,INKA2,INSYN2A,IRAG2,LOC124900602,MMP23B,MYH16,NPFFR2,PMAIP1,PPARGC1A,PTCHD4,PTPRU,RND3,SHROOM3,SPATA18,THBS4,TTN,UPP1,VWCE,WNT2,WNT9A	91 (16)
Doxo3 vs Cycling0	Rhox5	 	transcription regulator	 	0.415	 	4.50E-04	ADIPOQ,BACH2,PPARGC1A,PTPRU	 
Doxo14 vs Cycling0	RUNX1	 	transcription regulator	 	0.318	bias	4.66E-04	ATF3,ATP8A2,BTG2,CDKN1A,CYP11A1,DDIT3,GNA15,ITGA9,PLEK,PMAIP1,UPP1	45 (6)
Palbo14 vs Palbo3	ELOA	 	transcription regulator	 	 	 	4.71E-04	ATF3,CDKN1A	 
Doxo14 vs Cycling0	TRIM28	 	transcription regulator	 	0.707	bias	4.81E-04	AREG,CYP11A1,ERBB4,GDF15,INHBA,KITLG,PMAIP1,RSPO2	 
Doxo21 vs Doxo3	NEUROG2	 	transcription regulator	 	 	 	4.82E-04	DCX,GPC3,INSM2	 
Palbo28 vs Cycling0	PIAS1	 	transcription regulator	 	1.067	 	4.96E-04	CDKN1A,CYP11A1,SNAP91,SV2B,UNC13C	 
Doxo21 vs Cycling0	GATA2	 	transcription regulator	 	-0.102	bias	4.97E-04	CCN3,CDKN1A,CEL,COL17A1,CYBB,CYP11A1,EDNRA,INKA2,ITGAM,LY6D,MDK,MYO18B,PLB1	 
Doxo3 vs Cycling0	MED1	 	transcription regulator	 	1.912	bias	5.28E-04	ADCY5,ADIPOQ,CDKN1A,CYP11A1,HGF,LY6D,MPP7,MYH16,MYO18B,PRDM1	 
Doxo14 vs Cycling0	SMARCA4	 	transcription regulator	Activated	2.638	bias	5.62E-04	ADIPOQ,ANXA10,AREG,ATP2A1,CDKN1A,CYP3A4,EDNRA,FAM167A,IFI30,INHBA,IRAG2,LINC00589,MC5R,NPFFR2,PMAIP1,SPANXD (includes others),SPINK1,WNT9A	 
Doxo21 vs Cycling0	NOC2L	 	transcription regulator	 	 	 	5.66E-04	CDKN1A,PMAIP1	 
Doxo21 vs Cycling0	HIF1A	 	transcription regulator	 	1.996	bias	5.75E-04	ADIPOQ,ADORA2B,ATP6V0D2,BACH2,CAVIN2,CCN3,CDKN1A,EDNRA,ERBB4,FOLH1,HGF,HIF3A,PGF,PLAC8,PMAIP1,TTN	95 (14)
Doxo14 vs Doxo3	PRDM1	-1.134	transcription regulator	 	1.432	 	5.82E-04	BTK,BTLA,JAG1,PLAC8,PRDM1,TIGIT	 
Doxo21 vs Cycling0	MED1	 	transcription regulator	 	1.912	bias	5.99E-04	ADCY5,ADIPOQ,CDKN1A,CYP11A1,HGF,LY6D,MPP7,MYH16,MYO18B	 
Doxo14 vs Cycling0	TP63	 	transcription regulator	 	0.412	 	6.01E-04	ADAMTS18,AEN,APOBEC3H,AREG,CAPN6,CAVIN2,CDH3,CDKN1A,COL17A1,CSTA,FDXR,HGF,INHBA,PMAIP1,PPARGC1A,PTPRU,RASGRF1,SPATA18	68 (5)
Doxo3 vs Cycling0	STAT3	 	transcription regulator	 	1.476	bias	6.20E-04	ADIPOQ,ATP6V0D2,BACH2,BEX2,BTLA,CDKN1A,DDIT3,DRAXIN,EOMES,ESR2,HGF,IFI30,JAG1,PMAIP1,PPARGC1A,PRDM1,RNASE7,RNLS,TIGIT,TNFRSF1B,TOX,VIP	126 (17)
Doxo14 vs Cycling0	RBPJ	 	transcription regulator	 	-1.000	bias	6.22E-04	BTG2,CDKN1A,CYP11A1,HGF,INHBA,KITLG,MDK,PGF,PLAC8,PRDM1	17 (3)
Palbo14 vs Palbo3	BHLHE40	 	transcription regulator	 	1.436	 	6.40E-04	ATF3,CYP11A1,CYP3A4,EOMES,GCH1,IPCEF1,LY75,NR1I2,PLAC8	 
Doxo21 vs Cycling0	TP73	 	transcription regulator	 	1.771	bias	6.55E-04	ADORA2B,ATF3,BTG2,CADM1,CDKN1A,DDIT3,FDXR,INPP5D,LY6D,MDK,MMP23B,PMAIP1,PPL,ROBO4	53 (3)
Palbo28 vs Cycling0	ELOA	 	transcription regulator	 	 	 	6.63E-04	ATF3,CDKN1A	 
Doxo3 vs Cycling0	SIRT1	 	transcription regulator	 	-1.753	bias	6.64E-04	ADIPOQ,CDKN1A,CPB1,DDIT3,FCMR,HCK,HGF,LAPTM5,NECTIN4,PMAIP1,PPARGC1A,RIMS2,RTP4,SLC36A2,WNT2	65 (13)
Doxo14 vs Cycling0	NOC2L	 	transcription regulator	 	 	 	6.78E-04	CDKN1A,PMAIP1	 
Doxo3 vs Cycling0	TCF7	 	transcription regulator	 	-0.834	 	6.78E-04	CDKN1A,DNASE1L3,EOMES,GNAO1,INPP5D,KCNJ3,LY6D,PMAIP1,PRDM1,ST14,TIGIT,TOX,VSTM2A	21 (2)
Doxo14 vs Doxo3	EOMES	-1.213	transcription regulator	 	-1.911	 	6.95E-04	EOMES,FZD8,PRDM1,TFPI2	 
Palbo28 vs Palbo3	SIRT1	 	transcription regulator	 	0.650	 	6.97E-04	ADIPOQ,CDKN1A,FCMR,HCK,LAPTM5,NECTIN4,PPARGC1A,RIMS2,SLC36A2,UCP2,WNT2	20 (4)
Palbo14 vs Cycling0	FOXA2	 	transcription regulator	 	-1.664	 	7.21E-04	APOBR,CDKN1A,COL17A1,CYP3A4,ERBB4,GCK,MTTP,NR1I2,SMOC1,SPINK1,UCP2	 
Palbo28 vs Cycling0	TP63	 	transcription regulator	 	0.440	 	7.27E-04	ADAMTS18,AEN,CAPN6,CAVIN2,CDH3,CDKN1A,CSTA,DDB2,FDXR,FZD8,PMAIP1,PTPRU,RASGRF1,SFN,SPINK4	46 (5)
Doxo14 vs Cycling0	SPIB	 	transcription regulator	 	1.372	bias	7.41E-04	ARMC3,ATF3,BTK,COL17A1,GNA15,PRDM1	 
Doxo21 vs Doxo3	STAT3	 	transcription regulator	 	-0.256	bias	7.54E-04	ATP6V0D2,BEX2,BTLA,EOMES,HERC5,IFI30,JAG1,PPARGC1A,PRDM1,TOX,VIP	28 (7)
Palbo14 vs Palbo3	ZNF148	 	transcription regulator	 	 	 	7.56E-04	CDKN1A,ITGAM,RNLS	 
Palbo28 vs Cycling0	YAP1	 	transcription regulator	 	0.847	 	7.91E-04	ADGB,ATF3,CAVIN2,CDKN1A,COL7A1,CYP11A1,DNASE1L3,EOMES,GDF15,INPP5D,LY75,PMAIP1,SFN,UCP2	80 (12)
Doxo3 vs Cycling0	NOC2L	 	transcription regulator	 	 	 	8.05E-04	CDKN1A,PMAIP1	37 (4)
Doxo14 vs Cycling0	ATF4	 	transcription regulator	Activated	2.544	bias	8.15E-04	AREG,ATF3,CDKN1A,DDIT3,GCH1,GDF15,KLHDC7B,PMAIP1,TIGIT	51 (6)
Doxo14 vs Cycling0	SIRT1	 	transcription regulator	 	-1.555	bias	8.39E-04	ADIPOQ,CDKN1A,CPB1,DDIT3,FCMR,HCK,HGF,LAPTM5,NECTIN4,PMAIP1,PPARGC1A,RTP4,SLC36A2,WNT2	109 (14)
Doxo21 vs Doxo3	PPRC1	 	transcription regulator	 	 	 	8.47E-04	GDF15,SUN3,VIP	 
Doxo21 vs Cycling0	RUNX1	 	transcription regulator	 	0.318	bias	8.66E-04	ATF3,BTG2,CDKN1A,CYP11A1,DDIT3,GNA15,ITGA9,PLEK,PMAIP1,UPP1	57 (4)
Doxo14 vs Cycling0	KLF6	 	transcription regulator	 	1.582	bias	8.73E-04	ATF3,CDKN1A,CYBB,GCH1,IFI30,PMAIP1,PRDM1,TFPI2,TNFRSF1B,UPP1	44 (6)
Doxo14 vs Doxo3	LHX1	 	transcription regulator	Inhibited	-2.000	bias	9.21E-04	C7orf57,FZD8,JAG1,SLC12A1	 
Doxo21 vs Doxo3	TP53	 	transcription regulator	Inhibited	-2.627	 	9.36E-04	CDH3,COL7A1,EDNRA,FXYD3,GDF15,GPR87,HERC5,IFI30,INHBA,JAG1,LOC124900602,NINJ2,PPARGC1A,PRDM1,PTPRU,SFN,SHROOM3,SPATA18,TYMSOS,UPP1,VWCE	21 (2)
Doxo21 vs Cycling0	ELOA	 	transcription regulator	 	 	 	9.37E-04	ATF3,CDKN1A	 
Doxo3 vs Cycling0	SMAD3	 	transcription regulator	Activated	3.264	bias	9.51E-04	CDKN1A,COL7A1,CYP11A1,DDIT3,ESR2,FZD8,INPP5D,JAG1,PPARGC1A,S1PR4,THBS4,VIP	102 (11)
Doxo21 vs Doxo3	TCF7	 	transcription regulator	 	1.069	 	9.66E-04	DNASE1L3,EOMES,GNAO1,INPP5D,LY6D,PRDM1,TOX	 
Palbo28 vs Cycling0	BRCA1	 	transcription regulator	 	-0.068	 	9.73E-04	CDH3,CDKN1A,CYP3A4,DDB2,FXYD3,GDF15,SFN	55 (7)
Palbo14 vs Cycling0	ZNF148	 	transcription regulator	 	 	 	9.74E-04	CDKN1A,ITGAM,RNLS	 
Doxo3 vs Cycling0	FOXO1	 	transcription regulator	Activated	3.108	bias	9.83E-04	ADIPOQ,ATP6V0D2,CCN3,CDKN1A,DCX,EDA2R,EOMES,EPHA10,JAG1,MTTP,PMAIP1,PPARGC1A,PRDM1,SFN	71 (7)
Palbo14 vs Palbo3	NCOR2	 	transcription regulator	 	1.131	 	9.87E-04	ADIPOQ,CDKN1A,CYP3A4,PPARGC1A,SLC5A1	29 (6)
Doxo21 vs Cycling0	STAT3	 	transcription regulator	 	0.921	bias	9.87E-04	ADIPOQ,ATP6V0D2,BACH2,BEX2,BTLA,CDKN1A,DDIT3,DRAXIN,ESR2,HGF,IFI30,ITGAM,PMAIP1,PPARGC1A,RNASE7,RNLS,TIGIT,TOX,VIP	113 (18)
Palbo28 vs Palbo3	NCOR2	 	transcription regulator	 	 	 	1.06E-03	ADIPOQ,CDKN1A,CYP3A4,PPARGC1A,SEMA4D	28 (6)
Palbo14 vs Palbo3	ATF4	 	transcription regulator	 	-0.197	 	1.07E-03	AREG,ATF3,CDKN1A,GCH1,GDF15,KLHDC7B,TIGIT	 
Doxo21 vs Cycling0	SIRT1	 	transcription regulator	 	-1.345	bias	1.09E-03	ADIPOQ,CDKN1A,CPB1,DDIT3,HCK,HGF,LAPTM5,NECTIN4,PMAIP1,PPARGC1A,RTP4,SLC36A2,WNT2	103 (15)
Doxo14 vs Cycling0	ELOA	 	transcription regulator	 	 	 	1.12E-03	ATF3,CDKN1A	 
Doxo3 vs Cycling0	LEF1	 	transcription regulator	 	-0.711	 	1.14E-03	ADIPOQ,CDKN1A,DNASE1L3,GNAO1,JAG1,KCNJ3,LY6D,PMAIP1,PRDM1,ST14,VSTM2A	42 (4)
Palbo14 vs Palbo3	TRIM28	 	transcription regulator	 	0.000	 	1.15E-03	AREG,CYP11A1,ERBB4,GDF15,KITLG,RSPO2	15 (3)
Doxo3 vs Cycling0	SPIB	 	transcription regulator	 	1.372	bias	1.16E-03	ARMC3,ATF3,BTK,COL17A1,GNA15,PRDM1	 
Doxo14 vs Doxo3	BHLHE40	 	transcription regulator	 	-1.673	bias	1.19E-03	EOMES,IPCEF1,LY75,NR1I2,PLAC8,UPP1	 
Palbo3 vs Cycling0	Rhox5	 	transcription regulator	 	 	 	1.20E-03	BACH2,PPARGC1A,PTPRU	 
Doxo3 vs Cycling0	RBPJ	 	transcription regulator	 	-0.213	bias	1.20E-03	BTG2,CDKN1A,CYP11A1,HGF,INHBA,JAG1,MDK,PGF,PLAC8,PRDM1	52 (7)
Doxo21 vs Doxo3	EOMES	-2.718	transcription regulator	 	-1.930	 	1.21E-03	EOMES,FAT3,FZD8,PRDM1	 
Palbo28 vs Palbo3	RNF2	 	transcription regulator	 	 	 	1.22E-03	CDKN1A,EOMES,GDF15,TMEFF2	 
Palbo3 vs Cycling0	MED1	 	transcription regulator	 	-0.816	 	1.24E-03	ADAMTS18,ADCY5,LY6D,MPP7,MYH16,MYO18B,PRLR	 
Palbo28 vs Cycling0	ZNF148	 	transcription regulator	 	 	 	1.24E-03	CDKN1A,ITGAM,RNLS	 
Palbo28 vs Cycling0	GATA2	 	transcription regulator	 	-0.956	 	1.25E-03	CCN3,CDKN1A,CEL,CYBB,CYP11A1,EDNRA,ITGAM,LY6D,MDK,PLB1,S100A5	38 (4)
Palbo14 vs Cycling0	SIRT1	 	transcription regulator	 	0.711	 	1.25E-03	ADIPOQ,CDKN1A,CPB1,FCMR,GCK,LAPTM5,RIMS2,RTP4,SLC36A2,UCP2,WNT2	20 (5)
Palbo14 vs Palbo3	FOXO1	 	transcription regulator	 	-0.581	 	1.30E-03	ADIPOQ,ATP6V0D2,CDKN1A,EDA2R,EOMES,EPHA10,GCK,ITGAM,PPARGC1A,SFN	29 (4)
Palbo14 vs Palbo3	SMARCA1	 	transcription regulator	 	 	 	1.30E-03	CDKN1A,SFN	39 (4)
Palbo28 vs Cycling0	TP73	 	transcription regulator	 	-1.417	 	1.31E-03	AEN,ATF3,BTG2,CDKN1A,FDXR,INPP5D,LY6D,MDK,MMP23B,PMAIP1,PPL,SFN	46 (5)
Doxo3 vs Cycling0	ELOA	 	transcription regulator	 	 	 	1.33E-03	ATF3,CDKN1A	 
Palbo3 vs Cycling0	TCF7	 	transcription regulator	 	1.706	 	1.33E-03	DNASE1L3,EOMES,GNAO1,KCNJ3,LY6D,ST14,TEX15,TIGIT,TOX	 
Palbo28 vs Palbo3	SMARCA1	 	transcription regulator	 	 	 	1.34E-03	CDKN1A,SFN	40 (5)
Palbo28 vs Palbo3	SMARCD1	 	transcription regulator	 	 	 	1.34E-03	BTG2,CDKN1A	 
Palbo28 vs Palbo3	SMARCA4	 	transcription regulator	 	0.030	 	1.35E-03	ADIPOQ,ANXA10,AREG,ATP2A1,CDKN1A,COL7A1,CYP3A4,FAM167A,IFI30,IRAG2,LINC00589,NPFFR2,SPINK1	 
Palbo14 vs Palbo3	MBD2	 	transcription regulator	 	 	 	1.36E-03	CDKN1A,CEL,PRLR,S100A5	 
Palbo3 vs Cycling0	MEF2C	 	transcription regulator	Activated	2.177	 	1.38E-03	ATF3,ATP2A1,BACH2,CACNA1C,PPARGC1A,TTN	 
Doxo21 vs Cycling0	TRIM28	 	transcription regulator	 	1.134	 	1.38E-03	CYP11A1,ERBB4,ESR2,GDF15,INHBA,PMAIP1,RSPO2	 
